Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "East_y=-31mm_Tec" I=17 J=25 F=POINT
 -20.0000	 -31.0000	   5.0000	  -0.4348	  -0.6739	   0.1087	  18.0500	  22.0300	
 -17.5000	 -31.0000	   5.0000	  -0.3804	  -0.6739	   0.1087	  22.7525	  31.2575	
 -15.0000	 -31.0000	   5.0000	  -0.3261	  -0.6739	   0.1087	  27.4550	  40.4850	
 -12.5000	 -31.0000	   5.0000	  -0.2717	  -0.6739	   0.1087	  32.1575	  49.7125	
 -10.0000	 -31.0000	   5.0000	  -0.2174	  -0.6739	   0.1087	  36.8600	  58.9400	
  -7.5000	 -31.0000	   5.0000	  -0.1630	  -0.6739	   0.1087	  46.9750	  73.0600	
  -5.0000	 -31.0000	   5.0000	  -0.1087	  -0.6739	   0.1087	  57.0900	  87.1800	
  -2.5000	 -31.0000	   5.0000	  -0.0543	  -0.6739	   0.1087	  67.2050	 101.3000	
   0.0000	 -31.0000	   5.0000	   0.0000	  -0.6739	   0.1087	  77.3200	 115.4200	
   2.5000	 -31.0000	   5.0000	   0.0543	  -0.6739	   0.1087	  82.2250	 109.7550	
   5.0000	 -31.0000	   5.0000	   0.1087	  -0.6739	   0.1087	  87.1300	 104.0900	
   7.5000	 -31.0000	   5.0000	   0.1630	  -0.6739	   0.1087	  92.0350	  98.4250	
  10.0000	 -31.0000	   5.0000	   0.2174	  -0.6739	   0.1087	  96.9400	  92.7600	
  12.5000	 -31.0000	   5.0000	   0.2717	  -0.6739	   0.1087	  94.8475	  84.1350	
  15.0000	 -31.0000	   5.0000	   0.3261	  -0.6739	   0.1087	  92.7550	  75.5100	
  17.5000	 -31.0000	   5.0000	   0.3804	  -0.6739	   0.1087	  90.6625	  66.8850	
  20.0000	 -31.0000	   5.0000	   0.4348	  -0.6739	   0.1087	  88.5700	  58.2600	
 -20.0000	 -31.0000	   7.5000	  -0.4348	  -0.6739	   0.1630	  16.8625	  20.6950	
 -17.5000	 -31.0000	   7.5000	  -0.3804	  -0.6739	   0.1630	  21.0787	  28.5138	
 -15.0000	 -31.0000	   7.5000	  -0.3261	  -0.6739	   0.1630	  25.2950	  36.3325	
 -12.5000	 -31.0000	   7.5000	  -0.2717	  -0.6739	   0.1630	  29.5113	  44.1513	
 -10.0000	 -31.0000	   7.5000	  -0.2174	  -0.6739	   0.1630	  34.5045	  52.5465	
  -7.5000	 -31.0000	   7.5000	  -0.1630	  -0.6739	   0.1630	  42.4763	  63.1519	
  -5.0000	 -31.0000	   7.5000	  -0.1087	  -0.6739	   0.1630	  51.2250	  74.3337	
  -2.5000	 -31.0000	   7.5000	  -0.0543	  -0.6739	   0.1630	  59.9737	  85.5156	
   0.0000	 -31.0000	   7.5000	   0.0000	  -0.6739	   0.1630	  68.1139	  94.1434	
   2.5000	 -31.0000	   7.5000	   0.0543	  -0.6739	   0.1630	  73.9212	  92.9806	
   5.0000	 -31.0000	   7.5000	   0.1087	  -0.6739	   0.1630	  79.1200	  89.2638	
   7.5000	 -31.0000	   7.5000	   0.1630	  -0.6739	   0.1630	  84.3188	  85.5469	
  10.0000	 -31.0000	   7.5000	   0.2174	  -0.6739	   0.1630	  88.4257	  81.3660	
  12.5000	 -31.0000	   7.5000	   0.2717	  -0.6739	   0.1630	  88.3475	  75.4062	
  15.0000	 -31.0000	   7.5000	   0.3261	  -0.6739	   0.1630	  87.1775	  68.9825	
  17.5000	 -31.0000	   7.5000	   0.3804	  -0.6739	   0.1630	  86.0075	  62.5588	
