Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "East_y=29mm_Tec" I=17 J=25 F=POINT
 -20.0000	  29.0000	   5.0000	  -0.4348	   0.6304	   0.1087	  18.6200	  15.2300	
 -17.5000	  29.0000	   5.0000	  -0.3804	   0.6304	   0.1087	  19.3150	  17.8625	
 -15.0000	  29.0000	   5.0000	  -0.3261	   0.6304	   0.1087	  20.0100	  20.4950	
 -12.5000	  29.0000	   5.0000	  -0.2717	   0.6304	   0.1087	  20.7050	  23.1275	
 -10.0000	  29.0000	   5.0000	  -0.2174	   0.6304	   0.1087	  21.4000	  25.7600	
  -7.5000	  29.0000	   5.0000	  -0.1630	   0.6304	   0.1087	  26.0675	  36.8300	
  -5.0000	  29.0000	   5.0000	  -0.1087	   0.6304	   0.1087	  30.7350	  47.9000	
  -2.5000	  29.0000	   5.0000	  -0.0543	   0.6304	   0.1087	  35.4025	  58.9700	
   0.0000	  29.0000	   5.0000	   0.0000	   0.6304	   0.1087	  40.0700	  70.0400	
   2.5000	  29.0000	   5.0000	   0.0543	   0.6304	   0.1087	  52.6750	  75.8425	
   5.0000	  29.0000	   5.0000	   0.1087	   0.6304	   0.1087	  65.2800	  81.6450	
   7.5000	  29.0000	   5.0000	   0.1630	   0.6304	   0.1087	  77.8850	  87.4475	
  10.0000	  29.0000	   5.0000	   0.2174	   0.6304	   0.1087	  90.4900	  93.2500	
  12.5000	  29.0000	   5.0000	   0.2717	   0.6304	   0.1087	  93.3925	  82.8775	
  15.0000	  29.0000	   5.0000	   0.3261	   0.6304	   0.1087	  96.2950	  72.5050	
  17.5000	  29.0000	   5.0000	   0.3804	   0.6304	   0.1087	  99.1975	  62.1325	
  20.0000	  29.0000	   5.0000	   0.4348	   0.6304	   0.1087	 102.1000	  51.7600	
 -20.0000	  29.0000	   7.5000	  -0.4348	   0.6304	   0.1630	  17.9400	  14.3750	
 -17.5000	  29.0000	   7.5000	  -0.3804	   0.6304	   0.1630	  18.8975	  16.5987	
 -15.0000	  29.0000	   7.5000	  -0.3261	   0.6304	   0.1630	  19.8550	  18.8225	
 -12.5000	  29.0000	   7.5000	  -0.2717	   0.6304	   0.1630	  20.8125	  21.0463	
 -10.0000	  29.0000	   7.5000	  -0.2174	   0.6304	   0.1630	  22.2940	  24.4331	
  -7.5000	  29.0000	   7.5000	  -0.1630	   0.6304	   0.1630	  25.7844	  32.2788	
  -5.0000	  29.0000	   7.5000	  -0.1087	   0.6304	   0.1630	  29.7988	  41.2875	
  -2.5000	  29.0000	   7.5000	  -0.0543	   0.6304	   0.1630	  33.8131	  50.2963	
   0.0000	  29.0000	   7.5000	   0.0000	   0.6304	   0.1630	  38.8717	  58.6516	
   2.5000	  29.0000	   7.5000	   0.0543	   0.6304	   0.1630	  47.9331	  64.5025	
   5.0000	  29.0000	   7.5000	   0.1087	   0.6304	   0.1630	  58.0388	  69.7000	
   7.5000	  29.0000	   7.5000	   0.1630	   0.6304	   0.1630	  68.1444	  74.8975	
  10.0000	  29.0000	   7.5000	   0.2174	   0.6304	   0.1630	  77.1583	  77.9309	
  12.5000	  29.0000	   7.5000	   0.2717	   0.6304	   0.1630	  81.9875	  72.6688	
  15.0000	  29.0000	   7.5000	   0.3261	   0.6304	   0.1630	  85.7250	  65.2425	
  17.5000	  29.0000	   7.5000	   0.3804	   0.6304	   0.1630	  89.4625	  57.8162	
  20.0000	  29.0000	   7.5000	   0.4348	   0.6304	   0.1630	  93.2000	  50.3900	
 -20.0000	  29.0000	  10.0000	  -0.4348	   0.6304	   0.2174	  17.2600	  13.5200	
 -17.5000	  29.0000	  10.0000	  -0.3804	   0.6304	   0.2174	  18.4800	  15.3350	
 -15.0000	  29.0000	  10.0000	  -0.3261	   0.6304	   0.2174	  19.7000	  17.1500	
 -12.5000	  29.0000	  10.0000	  -0.2717	   0.6304	   0.2174	  20.9200	  18.9650	
 -10.0000	  29.0000	  10.0000	  -0.2174	   0.6304	   0.2174	  22.6158	  21.9206	
  -7.5000	  29.0000	  10.0000	  -0.1630	   0.6304	   0.2174	  25.5012	  27.7275	
  -5.0000	  29.0000	  10.0000	  -0.1087	   0.6304	   0.2174	  28.8625	  34.6750	
  -2.5000	  29.0000	  10.0000	  -0.0543	   0.6304	   0.2174	  32.2238	  41.6225	
   0.0000	  29.0000	  10.0000	   0.0000	   0.6304	   0.2174	  36.5283	  48.0467	
   2.5000	  29.0000	  10.0000	   0.0543	   0.6304	   0.2174	  43.1912	  53.1625	
   5.0000	  29.0000	  10.0000	   0.1087	   0.6304	   0.2174	  50.7975	  57.7550	
   7.5000	  29.0000	  10.0000	   0.1630	   0.6304	   0.2174	  58.4037	  62.3475	
  10.0000	  29.0000	  10.0000	   0.2174	   0.6304	   0.2174	  65.3358	  64.9239	
  12.5000	  29.0000	  10.0000	   0.2717	   0.6304	   0.2174	  70.5825	  62.4600	
  15.0000	  29.0000	  10.0000	   0.3261	   0.6304	   0.2174	  75.1550	  57.9800	
  17.5000	  29.0000	  10.0000	   0.3804	   0.6304	   0.2174	  79.7275	  53.5000	
  20.0000	  29.0000	  10.0000	   0.4348	   0.6304	   0.2174	  84.3000	  49.0200	
 -20.0000	  29.0000	  12.5000	  -0.4348	   0.6304	   0.2717	  16.5800	  12.6650	
 -17.5000	  29.0000	  12.5000	  -0.3804	   0.6304	   0.2717	  18.0625	  14.0713	
 -15.0000	  29.0000	  12.5000	  -0.3261	   0.6304	   0.2717	  19.5450	  15.4775	
 -12.5000	  29.0000	  12.5000	  -0.2717	   0.6304	   0.2717	  21.0275	  16.8838	
 -10.0000	  29.0000	  12.5000	  -0.2174	   0.6304	   0.2717	  22.7201	  18.8866	
  -7.5000	  29.0000	  12.5000	  -0.1630	   0.6304	   0.2717	  25.2181	  23.1763	
  -5.0000	  29.0000	  12.5000	  -0.1087	   0.6304	   0.2717	  27.9262	  28.0625	
  -2.5000	  29.0000	  12.5000	  -0.0543	   0.6304	   0.2717	  30.6344	  32.9488	
   0.0000	  29.0000	  12.5000	   0.0000	   0.6304	   0.2717	  33.7537	  37.6809	
   2.5000	  29.0000	  12.5000	   0.0543	   0.6304	   0.2717	  38.4494	  41.8225	
   5.0000	  29.0000	  12.5000	   0.1087	   0.6304	   0.2717	  43.5562	  45.8100	
   7.5000	  29.0000	  12.5000	   0.1630	   0.6304	   0.2717	  48.6631	  49.7975	
