Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "West_y=-85mm_Tec" I=17 J=25 F=POINT
 -20.0000	 -85.0000	   5.0000	  -0.4348	  -1.8478	   0.1087	  82.0100	  42.3600	
 -17.5000	 -85.0000	   5.0000	  -0.3804	  -1.8478	   0.1087	  76.6575	  51.6925	
 -15.0000	 -85.0000	   5.0000	  -0.3261	  -1.8478	   0.1087	  71.3050	  61.0250	
 -12.5000	 -85.0000	   5.0000	  -0.2717	  -1.8478	   0.1087	  65.9525	  70.3575	
 -10.0000	 -85.0000	   5.0000	  -0.2174	  -1.8478	   0.1087	  60.6000	  79.6900	
  -7.5000	 -85.0000	   5.0000	  -0.1630	  -1.8478	   0.1087	  48.6550	  69.1225	
  -5.0000	 -85.0000	   5.0000	  -0.1087	  -1.8478	   0.1087	  36.7100	  58.5550	
  -2.5000	 -85.0000	   5.0000	  -0.0543	  -1.8478	   0.1087	  24.7650	  47.9875	
   0.0000	 -85.0000	   5.0000	   0.0000	  -1.8478	   0.1087	  12.8200	  37.4200	
   2.5000	 -85.0000	   5.0000	   0.0543	  -1.8478	   0.1087	  10.8350	  31.3725	
   5.0000	 -85.0000	   5.0000	   0.1087	  -1.8478	   0.1087	   8.8500	  25.3250	
   7.5000	 -85.0000	   5.0000	   0.1630	  -1.8478	   0.1087	   6.8650	  19.2775	
  10.0000	 -85.0000	   5.0000	   0.2174	  -1.8478	   0.1087	   4.8800	  13.2300	
  12.5000	 -85.0000	   5.0000	   0.2717	  -1.8478	   0.1087	   4.5125	  11.3675	
  15.0000	 -85.0000	   5.0000	   0.3261	  -1.8478	   0.1087	   4.1450	   9.5050	
  17.5000	 -85.0000	   5.0000	   0.3804	  -1.8478	   0.1087	   3.7775	   7.6425	
  20.0000	 -85.0000	   5.0000	   0.4348	  -1.8478	   0.1087	   3.4100	   5.7800	
 -20.0000	 -85.0000	   7.5000	  -0.4348	  -1.8478	   0.1630	  68.6750	  38.1450	
 -17.5000	 -85.0000	   7.5000	  -0.3804	  -1.8478	   0.1630	  64.1056	  45.2737	
 -15.0000	 -85.0000	   7.5000	  -0.3261	  -1.8478	   0.1630	  59.5363	  52.4025	
 -12.5000	 -85.0000	   7.5000	  -0.2717	  -1.8478	   0.1630	  54.9669	  59.5313	
 -10.0000	 -85.0000	   7.5000	  -0.2174	  -1.8478	   0.1630	  49.5173	  63.9205	
  -7.5000	 -85.0000	   7.5000	  -0.1630	  -1.8478	   0.1630	  40.6938	  57.8081	
  -5.0000	 -85.0000	   7.5000	  -0.1087	  -1.8478	   0.1630	  30.9900	  48.9563	
  -2.5000	 -85.0000	   7.5000	  -0.0543	  -1.8478	   0.1630	  21.2863	  40.1044	
   0.0000	 -85.0000	   7.5000	   0.0000	  -1.8478	   0.1630	  12.9493	  31.9208	
   2.5000	 -85.0000	   7.5000	   0.0543	  -1.8478	   0.1630	   9.8519	  26.2988	
   5.0000	 -85.0000	   7.5000	   0.1087	  -1.8478	   0.1630	   8.1213	  21.3450	
   7.5000	 -85.0000	   7.5000	   0.1630	  -1.8478	   0.1630	   6.3906	  16.3912	
  10.0000	 -85.0000	   7.5000	   0.2174	  -1.8478	   0.1630	   4.8966	  12.0270	
  12.5000	 -85.0000	   7.5000	   0.2717	  -1.8478	   0.1630	   4.3094	   9.9225	
  15.0000	 -85.0000	   7.5000	   0.3261	  -1.8478	   0.1630	   3.9588	   8.4075	
  17.5000	 -85.0000	   7.5000	   0.3804	  -1.8478	   0.1630	   3.6081	   6.8925	
  20.0000	 -85.0000	   7.5000	   0.4348	  -1.8478	   0.1630	   3.2575	   5.3775	
 -20.0000	 -85.0000	  10.0000	  -0.4348	  -1.8478	   0.2174	  55.3400	  33.9300	
 -17.5000	 -85.0000	  10.0000	  -0.3804	  -1.8478	   0.2174	  51.5538	  38.8550	
 -15.0000	 -85.0000	  10.0000	  -0.3261	  -1.8478	   0.2174	  47.7675	  43.7800	
 -12.5000	 -85.0000	  10.0000	  -0.2717	  -1.8478	   0.2174	  43.9813	  48.7050	
 -10.0000	 -85.0000	  10.0000	  -0.2174	  -1.8478	   0.2174	  39.3781	  50.9497	
  -7.5000	 -85.0000	  10.0000	  -0.1630	  -1.8478	   0.2174	  32.7325	  46.4938	
  -5.0000	 -85.0000	  10.0000	  -0.1087	  -1.8478	   0.2174	  25.2700	  39.3575	
  -2.5000	 -85.0000	  10.0000	  -0.0543	  -1.8478	   0.2174	  17.8075	  32.2212	
   0.0000	 -85.0000	  10.0000	   0.0000	  -1.8478	   0.2174	  11.6753	  25.8131	
   2.5000	 -85.0000	  10.0000	   0.0543	  -1.8478	   0.2174	   8.8688	  21.2250	
   5.0000	 -85.0000	  10.0000	   0.1087	  -1.8478	   0.2174	   7.3925	  17.3650	
   7.5000	 -85.0000	  10.0000	   0.1630	  -1.8478	   0.2174	   5.9162	  13.5050	
  10.0000	 -85.0000	  10.0000	   0.2174	  -1.8478	   0.2174	   4.6939	  10.2433	
  12.5000	 -85.0000	  10.0000	   0.2717	  -1.8478	   0.2174	   4.1062	   8.4775	
  15.0000	 -85.0000	  10.0000	   0.3261	  -1.8478	   0.2174	   3.7725	   7.3100	
  17.5000	 -85.0000	  10.0000	   0.3804	  -1.8478	   0.2174	   3.4388	   6.1425	
  20.0000	 -85.0000	  10.0000	   0.4348	  -1.8478	   0.2174	   3.1050	   4.9750	
 -20.0000	 -85.0000	  12.5000	  -0.4348	  -1.8478	   0.2717	  42.0050	  29.7150	
 -17.5000	 -85.0000	  12.5000	  -0.3804	  -1.8478	   0.2717	  39.0019	  32.4363	
 -15.0000	 -85.0000	  12.5000	  -0.3261	  -1.8478	   0.2717	  35.9988	  35.1575	
 -12.5000	 -85.0000	  12.5000	  -0.2717	  -1.8478	   0.2717	  32.9956	  37.8788	
 -10.0000	 -85.0000	  12.5000	  -0.2174	  -1.8478	   0.2717	  29.6122	  39.2043	
  -7.5000	 -85.0000	  12.5000	  -0.1630	  -1.8478	   0.2717	  24.7713	  35.1794	
