Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "West_y=29mm_Tec" I=17 J=25 F=POINT
 -20.0000	  29.0000	   5.0000	  -0.4348	   0.6304	   0.1087	  73.3300	  45.6400	
 -17.5000	  29.0000	   5.0000	  -0.3804	   0.6304	   0.1087	  70.4100	  49.0725	
 -15.0000	  29.0000	   5.0000	  -0.3261	   0.6304	   0.1087	  67.4900	  52.5050	
 -12.5000	  29.0000	   5.0000	  -0.2717	   0.6304	   0.1087	  64.5700	  55.9375	
 -10.0000	  29.0000	   5.0000	  -0.2174	   0.6304	   0.1087	  61.6500	  59.3700	
  -7.5000	  29.0000	   5.0000	  -0.1630	   0.6304	   0.1087	  56.1475	  58.8500	
  -5.0000	  29.0000	   5.0000	  -0.1087	   0.6304	   0.1087	  50.6450	  58.3300	
  -2.5000	  29.0000	   5.0000	  -0.0543	   0.6304	   0.1087	  45.1425	  57.8100	
   0.0000	  29.0000	   5.0000	   0.0000	   0.6304	   0.1087	  39.6400	  57.2900	
   2.5000	  29.0000	   5.0000	   0.0543	   0.6304	   0.1087	  42.5100	  56.6850	
   5.0000	  29.0000	   5.0000	   0.1087	   0.6304	   0.1087	  45.3800	  56.0800	
   7.5000	  29.0000	   5.0000	   0.1630	   0.6304	   0.1087	  48.2500	  55.4750	
  10.0000	  29.0000	   5.0000	   0.2174	   0.6304	   0.1087	  51.1200	  54.8700	
  12.5000	  29.0000	   5.0000	   0.2717	   0.6304	   0.1087	  45.0025	  48.6700	
  15.0000	  29.0000	   5.0000	   0.3261	   0.6304	   0.1087	  38.8850	  42.4700	
  17.5000	  29.0000	   5.0000	   0.3804	   0.6304	   0.1087	  32.7675	  36.2700	
  20.0000	  29.0000	   5.0000	   0.4348	   0.6304	   0.1087	  26.6500	  30.0700	
 -20.0000	  29.0000	   7.5000	  -0.4348	   0.6304	   0.1630	  69.5075	  43.3200	
 -17.5000	  29.0000	   7.5000	  -0.3804	   0.6304	   0.1630	  67.0756	  46.4044	
 -15.0000	  29.0000	   7.5000	  -0.3261	   0.6304	   0.1630	  64.6437	  49.4888	
 -12.5000	  29.0000	   7.5000	  -0.2717	   0.6304	   0.1630	  62.2119	  52.5731	
 -10.0000	  29.0000	   7.5000	  -0.2174	   0.6304	   0.1630	  59.2530	  54.9628	
  -7.5000	  29.0000	   7.5000	  -0.1630	   0.6304	   0.1630	  54.2737	  54.6894	
  -5.0000	  29.0000	   7.5000	  -0.1087	   0.6304	   0.1630	  48.7675	  53.7212	
  -2.5000	  29.0000	   7.5000	  -0.0543	   0.6304	   0.1630	  43.2612	  52.7531	
   0.0000	  29.0000	   7.5000	   0.0000	   0.6304	   0.1630	  38.9848	  51.8127	
   2.5000	  29.0000	   7.5000	   0.0543	   0.6304	   0.1630	  39.4225	  50.9788	
   5.0000	  29.0000	   7.5000	   0.1087	   0.6304	   0.1630	  41.0900	  50.1725	
   7.5000	  29.0000	   7.5000	   0.1630	   0.6304	   0.1630	  42.7575	  49.3663	
  10.0000	  29.0000	   7.5000	   0.2174	   0.6304	   0.1630	  43.2650	  47.7939	
  12.5000	  29.0000	   7.5000	   0.2717	   0.6304	   0.1630	  39.3256	  43.2850	
  15.0000	  29.0000	   7.5000	   0.3261	   0.6304	   0.1630	  34.2263	  38.0100	
  17.5000	  29.0000	   7.5000	   0.3804	   0.6304	   0.1630	  29.1269	  32.7350	
  20.0000	  29.0000	   7.5000	   0.4348	   0.6304	   0.1630	  24.0275	  27.4600	
 -20.0000	  29.0000	  10.0000	  -0.4348	   0.6304	   0.2174	  65.6850	  41.0000	
 -17.5000	  29.0000	  10.0000	  -0.3804	   0.6304	   0.2174	  63.7413	  43.7362	
 -15.0000	  29.0000	  10.0000	  -0.3261	   0.6304	   0.2174	  61.7975	  46.4725	
 -12.5000	  29.0000	  10.0000	  -0.2717	   0.6304	   0.2174	  59.8537	  49.2088	
 -10.0000	  29.0000	  10.0000	  -0.2174	   0.6304	   0.2174	  57.1175	  51.0222	
  -7.5000	  29.0000	  10.0000	  -0.1630	   0.6304	   0.2174	  52.4000	  50.5287	
  -5.0000	  29.0000	  10.0000	  -0.1087	   0.6304	   0.2174	  46.8900	  49.1125	
  -2.5000	  29.0000	  10.0000	  -0.0543	   0.6304	   0.2174	  41.3800	  47.6962	
   0.0000	  29.0000	  10.0000	   0.0000	   0.6304	   0.2174	  37.1978	  46.3708	
   2.5000	  29.0000	  10.0000	   0.0543	   0.6304	   0.2174	  36.3350	  45.2725	
   5.0000	  29.0000	  10.0000	   0.1087	   0.6304	   0.2174	  36.8000	  44.2650	
   7.5000	  29.0000	  10.0000	   0.1630	   0.6304	   0.2174	  37.2650	  43.2575	
  10.0000	  29.0000	  10.0000	   0.2174	   0.6304	   0.2174	  36.7197	  41.5072	
  12.5000	  29.0000	  10.0000	   0.2717	   0.6304	   0.2174	  33.6487	  37.9000	
  15.0000	  29.0000	  10.0000	   0.3261	   0.6304	   0.2174	  29.5675	  33.5500	
  17.5000	  29.0000	  10.0000	   0.3804	   0.6304	   0.2174	  25.4863	  29.2000	
  20.0000	  29.0000	  10.0000	   0.4348	   0.6304	   0.2174	  21.4050	  24.8500	
 -20.0000	  29.0000	  12.5000	  -0.4348	   0.6304	   0.2717	  61.8625	  38.6800	
 -17.5000	  29.0000	  12.5000	  -0.3804	   0.6304	   0.2717	  60.4069	  41.0681	
 -15.0000	  29.0000	  12.5000	  -0.3261	   0.6304	   0.2717	  58.9513	  43.4563	
 -12.5000	  29.0000	  12.5000	  -0.2717	   0.6304	   0.2717	  57.4956	  45.8444	
 -10.0000	  29.0000	  12.5000	  -0.2174	   0.6304	   0.2717	  55.3443	  47.5035	
  -7.5000	  29.0000	  12.5000	  -0.1630	   0.6304	   0.2717	  50.5263	  46.3681	
  -5.0000	  29.0000	  12.5000	  -0.1087	   0.6304	   0.2717	  45.0125	  44.5037	
  -2.5000	  29.0000	  12.5000	  -0.0543	   0.6304	   0.2717	  39.4988	  42.6394	
   0.0000	  29.0000	  12.5000	   0.0000	   0.6304	   0.2717	  34.8038	  40.8874	
   2.5000	  29.0000	  12.5000	   0.0543	   0.6304	   0.2717	  33.2475	  39.5662	
   5.0000	  29.0000	  12.5000	   0.1087	   0.6304	   0.2717	  32.5100	  38.3575	
   7.5000	  29.0000	  12.5000	   0.1630	   0.6304	   0.2717	  31.7725	  37.1487	
  10.0000	  29.0000	  12.5000	   0.2174	   0.6304	   0.2717	  30.6363	  35.5601	
  12.5000	  29.0000	  12.5000	   0.2717	   0.6304	   0.2717	  27.9719	  32.5150	
  15.0000	  29.0000	  12.5000	   0.3261	   0.6304	   0.2717	  24.9088	  29.0900	
  17.5000	  29.0000	  12.5000	   0.3804	   0.6304	   0.2717	  21.8456	  25.6650	
  20.0000	  29.0000	  12.5000	   0.4348	   0.6304	   0.2717	  18.7825	  22.2400	
 -20.0000	  29.0000	  15.0000	  -0.4348	   0.6304	   0.3261	  58.0400	  36.3600	
 -17.5000	  29.0000	  15.0000	  -0.3804	   0.6304	   0.3261	  56.9576	  38.4265	
 -15.0000	  29.0000	  15.0000	  -0.3261	   0.6304	   0.3261	  55.8094	  40.4597	
 -12.5000	  29.0000	  15.0000	  -0.2717	   0.6304	   0.3261	  54.7964	  42.4840	
 -10.0000	  29.0000	  15.0000	  -0.2174	   0.6304	   0.3261	  54.1700	  44.5200	
  -7.5000	  29.0000	  15.0000	  -0.1630	   0.6304	   0.3261	  48.2604	  42.3013	
  -5.0000	  29.0000	  15.0000	  -0.1087	   0.6304	   0.3261	  42.7072	  40.1475	
  -2.5000	  29.0000	  15.0000	  -0.0543	   0.6304	   0.3261	  37.3496	  37.8783	
   0.0000	  29.0000	  15.0000	   0.0000	   0.6304	   0.3261	  32.1000	  35.2700	
   2.5000	  29.0000	  15.0000	   0.0543	   0.6304	   0.3261	  30.2353	  34.3505	
   5.0000	  29.0000	  15.0000	   0.1087	   0.6304	   0.3261	  28.6819	  33.2072	
   7.5000	  29.0000	  15.0000	   0.1630	   0.6304	   0.3261	  26.9174	  31.7178	
