Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "Trees_West_y=-85mm_Tec" I=17 J=25 F=POINT
 -20.0000	 -85.0000	   5.0000	  -0.4348	  -1.8478	   0.1087	 141.6600	  61.0900	
 -17.5000	 -85.0000	   5.0000	  -0.3804	  -1.8478	   0.1087	 154.9400	  74.8725	
 -15.0000	 -85.0000	   5.0000	  -0.3261	  -1.8478	   0.1087	 168.2200	  88.6550	
 -12.5000	 -85.0000	   5.0000	  -0.2717	  -1.8478	   0.1087	 181.5000	 102.4375	
 -10.0000	 -85.0000	   5.0000	  -0.2174	  -1.8478	   0.1087	 194.7800	 116.2200	
  -7.5000	 -85.0000	   5.0000	  -0.1630	  -1.8478	   0.1087	 189.5800	 143.0400	
  -5.0000	 -85.0000	   5.0000	  -0.1087	  -1.8478	   0.1087	 184.3800	 169.8600	
  -2.5000	 -85.0000	   5.0000	  -0.0543	  -1.8478	   0.1087	 179.1800	 196.6800	
   0.0000	 -85.0000	   5.0000	   0.0000	  -1.8478	   0.1087	 173.9800	 223.5000	
   2.5000	 -85.0000	   5.0000	   0.0543	  -1.8478	   0.1087	 132.4350	 170.5725	
   5.0000	 -85.0000	   5.0000	   0.1087	  -1.8478	   0.1087	  90.8900	 117.6450	
   7.5000	 -85.0000	   5.0000	   0.1630	  -1.8478	   0.1087	  49.3450	  64.7175	
  10.0000	 -85.0000	   5.0000	   0.2174	  -1.8478	   0.1087	   7.8000	  11.7900	
  12.5000	 -85.0000	   5.0000	   0.2717	  -1.8478	   0.1087	   7.1350	  10.5225	
  15.0000	 -85.0000	   5.0000	   0.3261	  -1.8478	   0.1087	   6.4700	   9.2550	
  17.5000	 -85.0000	   5.0000	   0.3804	  -1.8478	   0.1087	   5.8050	   7.9875	
  20.0000	 -85.0000	   5.0000	   0.4348	  -1.8478	   0.1087	   5.1400	   6.7200	
 -20.0000	 -85.0000	   7.5000	  -0.4348	  -1.8478	   0.1630	 132.7175	  59.2500	
 -17.5000	 -85.0000	   7.5000	  -0.3804	  -1.8478	   0.1630	 139.5825	  69.5056	
 -15.0000	 -85.0000	   7.5000	  -0.3261	  -1.8478	   0.1630	 146.4475	  79.7613	
 -12.5000	 -85.0000	   7.5000	  -0.2717	  -1.8478	   0.1630	 153.3125	  90.0169	
 -10.0000	 -85.0000	   7.5000	  -0.2174	  -1.8478	   0.1630	 157.8840	 101.6468	
  -7.5000	 -85.0000	   7.5000	  -0.1630	  -1.8478	   0.1630	 153.6638	 118.5450	
  -5.0000	 -85.0000	   7.5000	  -0.1087	  -1.8478	   0.1630	 147.1500	 136.8175	
