Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "East_y=-142mm_Tec" I=17 J=25 F=POINT
 -20.0000	-142.0000	   5.0000	  -0.4348	  -3.0870	   0.1087	   9.7000	   5.2600	
 -17.5000	-142.0000	   5.0000	  -0.3804	  -3.0870	   0.1087	  10.4425	   7.8150	
 -15.0000	-142.0000	   5.0000	  -0.3261	  -3.0870	   0.1087	  11.1850	  10.3700	
 -12.5000	-142.0000	   5.0000	  -0.2717	  -3.0870	   0.1087	  11.9275	  12.9250	
 -10.0000	-142.0000	   5.0000	  -0.2174	  -3.0870	   0.1087	  12.6700	  15.4800	
  -7.5000	-142.0000	   5.0000	  -0.1630	  -3.0870	   0.1087	  17.1700	  28.9425	
  -5.0000	-142.0000	   5.0000	  -0.1087	  -3.0870	   0.1087	  21.6700	  42.4050	
  -2.5000	-142.0000	   5.0000	  -0.0543	  -3.0870	   0.1087	  26.1700	  55.8675	
   0.0000	-142.0000	   5.0000	   0.0000	  -3.0870	   0.1087	  30.6700	  69.3300	
   2.5000	-142.0000	   5.0000	   0.0543	  -3.0870	   0.1087	  42.7450	  72.0725	
   5.0000	-142.0000	   5.0000	   0.1087	  -3.0870	   0.1087	  54.8200	  74.8150	
   7.5000	-142.0000	   5.0000	   0.1630	  -3.0870	   0.1087	  66.8950	  77.5575	
  10.0000	-142.0000	   5.0000	   0.2174	  -3.0870	   0.1087	  78.9700	  80.3000	
  12.5000	-142.0000	   5.0000	   0.2717	  -3.0870	   0.1087	  77.5775	  69.2775	
  15.0000	-142.0000	   5.0000	   0.3261	  -3.0870	   0.1087	  76.1850	  58.2550	
  17.5000	-142.0000	   5.0000	   0.3804	  -3.0870	   0.1087	  74.7925	  47.2325	
  20.0000	-142.0000	   5.0000	   0.4348	  -3.0870	   0.1087	  73.4000	  36.2100	
 -20.0000	-142.0000	   7.5000	  -0.4348	  -3.0870	   0.1630	   9.9600	   5.3625	
 -17.5000	-142.0000	   7.5000	  -0.3804	  -3.0870	   0.1630	  10.6931	   7.5081	
 -15.0000	-142.0000	   7.5000	  -0.3261	  -3.0870	   0.1630	  11.4263	   9.6538	
 -12.5000	-142.0000	   7.5000	  -0.2717	  -3.0870	   0.1630	  12.1594	  11.7994	
 -10.0000	-142.0000	   7.5000	  -0.2174	  -3.0870	   0.1630	  13.3766	  15.3864	
  -7.5000	-142.0000	   7.5000	  -0.1630	  -3.0870	   0.1630	  16.4494	  24.4987	
  -5.0000	-142.0000	   7.5000	  -0.1087	  -3.0870	   0.1630	  20.0063	  35.0525	
  -2.5000	-142.0000	   7.5000	  -0.0543	  -3.0870	   0.1630	  23.5631	  45.6063	
   0.0000	-142.0000	   7.5000	   0.0000	  -3.0870	   0.1630	  28.1850	  54.8631	
   2.5000	-142.0000	   7.5000	   0.0543	  -3.0870	   0.1630	  36.8894	  59.1487	
   5.0000	-142.0000	   7.5000	   0.1087	  -3.0870	   0.1630	  46.6588	  62.1375	
   7.5000	-142.0000	   7.5000	   0.1630	  -3.0870	   0.1630	  56.4281	  65.1262	
  10.0000	-142.0000	   7.5000	   0.2174	  -3.0870	   0.1630	  64.5068	  66.1876	
  12.5000	-142.0000	   7.5000	   0.2717	  -3.0870	   0.1630	  66.1044	  59.8606	
  15.0000	-142.0000	   7.5000	   0.3261	  -3.0870	   0.1630	  66.0113	  51.6063	
  17.5000	-142.0000	   7.5000	   0.3804	  -3.0870	   0.1630	  65.9181	  43.3519	
  20.0000	-142.0000	   7.5000	   0.4348	  -3.0870	   0.1630	  65.8250	  35.0975	
 -20.0000	-142.0000	  10.0000	  -0.4348	  -3.0870	   0.2174	  10.2200	   5.4650	
 -17.5000	-142.0000	  10.0000	  -0.3804	  -3.0870	   0.2174	  10.9438	   7.2013	
 -15.0000	-142.0000	  10.0000	  -0.3261	  -3.0870	   0.2174	  11.6675	   8.9375	
 -12.5000	-142.0000	  10.0000	  -0.2717	  -3.0870	   0.2174	  12.3912	  10.6738	
 -10.0000	-142.0000	  10.0000	  -0.2174	  -3.0870	   0.2174	  13.5350	  13.7231	
  -7.5000	-142.0000	  10.0000	  -0.1630	  -3.0870	   0.2174	  15.7288	  20.0550	
  -5.0000	-142.0000	  10.0000	  -0.1087	  -3.0870	   0.2174	  18.3425	  27.7000	
  -2.5000	-142.0000	  10.0000	  -0.0543	  -3.0870	   0.2174	  20.9563	  35.3450	
   0.0000	-142.0000	  10.0000	   0.0000	  -3.0870	   0.2174	  24.6478	  42.0100	
   2.5000	-142.0000	  10.0000	   0.0543	  -3.0870	   0.2174	  31.0337	  46.2250	
   5.0000	-142.0000	  10.0000	   0.1087	  -3.0870	   0.2174	  38.4975	  49.4600	
   7.5000	-142.0000	  10.0000	   0.1630	  -3.0870	   0.2174	  45.9612	  52.6950	
  10.0000	-142.0000	  10.0000	   0.2174	  -3.0870	   0.2174	  52.0344	  53.9919	
  12.5000	-142.0000	  10.0000	   0.2717	  -3.0870	   0.2174	  54.6313	  50.4437	
  15.0000	-142.0000	  10.0000	   0.3261	  -3.0870	   0.2174	  55.8375	  44.9575	
  17.5000	-142.0000	  10.0000	   0.3804	  -3.0870	   0.2174	  57.0438	  39.4713	
  20.0000	-142.0000	  10.0000	   0.4348	  -3.0870	   0.2174	  58.2500	  33.9850	
 -20.0000	-142.0000	  12.5000	  -0.4348	  -3.0870	   0.2717	  10.4800	   5.5675	
 -17.5000	-142.0000	  12.5000	  -0.3804	  -3.0870	   0.2717	  11.1944	   6.8944	
 -15.0000	-142.0000	  12.5000	  -0.3261	  -3.0870	   0.2717	  11.9088	   8.2213	
 -12.5000	-142.0000	  12.5000	  -0.2717	  -3.0870	   0.2717	  12.6231	   9.5481	
 -10.0000	-142.0000	  12.5000	  -0.2174	  -3.0870	   0.2717	  13.5014	  11.4595	
  -7.5000	-142.0000	  12.5000	  -0.1630	  -3.0870	   0.2717	  15.0081	  15.6113	
  -5.0000	-142.0000	  12.5000	  -0.1087	  -3.0870	   0.2717	  16.6788	  20.3475	
  -2.5000	-142.0000	  12.5000	  -0.0543	  -3.0870	   0.2717	  18.3494	  25.0838	
   0.0000	-142.0000	  12.5000	   0.0000	  -3.0870	   0.2717	  20.6179	  29.6049	
   2.5000	-142.0000	  12.5000	   0.0543	  -3.0870	   0.2717	  25.1781	  33.3013	
   5.0000	-142.0000	  12.5000	   0.1087	  -3.0870	   0.2717	  30.3362	  36.7825	
   7.5000	-142.0000	  12.5000	   0.1630	  -3.0870	   0.2717	  35.4944	  40.2638	
  10.0000	-142.0000	  12.5000	   0.2174	  -3.0870	   0.2717	  40.1978	  42.6823	
  12.5000	-142.0000	  12.5000	   0.2717	  -3.0870	   0.2717	  43.1581	  41.0269	
  15.0000	-142.0000	  12.5000	   0.3261	  -3.0870	   0.2717	  45.6638	  38.3088	
  17.5000	-142.0000	  12.5000	   0.3804	  -3.0870	   0.2717	  48.1694	  35.5906	
  20.0000	-142.0000	  12.5000	   0.4348	  -3.0870	   0.2717	  50.6750	  32.8725	
 -20.0000	-142.0000	  15.0000	  -0.4348	  -3.0870	   0.3261	  10.7400	   5.6700	
 -17.5000	-142.0000	  15.0000	  -0.3804	  -3.0870	   0.3261	  11.4630	   6.6714	
 -15.0000	-142.0000	  15.0000	  -0.3261	  -3.0870	   0.3261	  12.1911	   7.6825	
 -12.5000	-142.0000	  15.0000	  -0.2717	  -3.0870	   0.3261	  12.9004	   8.6125	
 -10.0000	-142.0000	  15.0000	  -0.2174	  -3.0870	   0.3261	  13.5600	   9.3400	
  -7.5000	-142.0000	  15.0000	  -0.1630	  -3.0870	   0.3261	  14.5261	  11.8854	
