Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "East_y=148mm_Tec" I=17 J=25 F=POINT
 -20.0000	 148.0000	   5.0000	  -0.4348	   3.2174	   0.1087	  17.4702	  31.1213	
 -17.5000	 148.0000	   5.0000	  -0.3804	   3.2174	   0.1087	  34.1312	  49.1488	
 -15.0000	 148.0000	   5.0000	  -0.3261	   3.2174	   0.1087	  50.8375	  67.2425	
 -12.5000	 148.0000	   5.0000	  -0.2717	   3.2174	   0.1087	  67.5438	  85.3363	
 -10.0000	 148.0000	   5.0000	  -0.2174	   3.2174	   0.1087	  84.2500	 103.4300	
  -7.5000	 148.0000	   5.0000	  -0.1630	   3.2174	   0.1087	 110.7850	 131.3550	
  -5.0000	 148.0000	   5.0000	  -0.1087	   3.2174	   0.1087	 137.3200	 159.2800	
  -2.5000	 148.0000	   5.0000	  -0.0543	   3.2174	   0.1087	 163.8550	 187.2050	
   0.0000	 148.0000	   5.0000	   0.0000	   3.2174	   0.1087	 190.3900	 215.1300	
   2.5000	 148.0000	   5.0000	   0.0543	   3.2174	   0.1087	 187.4875	 193.9000	
   5.0000	 148.0000	   5.0000	   0.1087	   3.2174	   0.1087	 184.5850	 172.6700	
   7.5000	 148.0000	   5.0000	   0.1630	   3.2174	   0.1087	 181.6825	 151.4400	
  10.0000	 148.0000	   5.0000	   0.2174	   3.2174	   0.1087	 178.7800	 130.2100	
  12.5000	 148.0000	   5.0000	   0.2717	   3.2174	   0.1087	 165.2850	 114.5600	
  15.0000	 148.0000	   5.0000	   0.3261	   3.2174	   0.1087	 151.7900	  98.9100	
  17.5000	 148.0000	   5.0000	   0.3804	   3.2174	   0.1087	 138.2950	  83.2600	
  20.0000	 148.0000	   5.0000	   0.4348	   3.2174	   0.1087	 124.8000	  67.6100	
 -20.0000	 148.0000	   7.5000	  -0.4348	   3.2174	   0.1630	  17.2670	  29.7656	
 -17.5000	 148.0000	   7.5000	  -0.3804	   3.2174	   0.1630	  31.9642	  44.9386	
 -15.0000	 148.0000	   7.5000	  -0.3261	   3.2174	   0.1630	  46.6853	  60.1191	
 -12.5000	 148.0000	   7.5000	  -0.2717	   3.2174	   0.1630	  61.4064	  75.2995	
 -10.0000	 148.0000	   7.5000	  -0.2174	   3.2174	   0.1630	  77.4363	  91.8028	
  -7.5000	 148.0000	   7.5000	  -0.1630	   3.2174	   0.1630	  97.8669	 112.7538	
  -5.0000	 148.0000	   7.5000	  -0.1087	   3.2174	   0.1630	 119.6063	 135.0275	
  -2.5000	 148.0000	   7.5000	  -0.0543	   3.2174	   0.1630	 141.3456	 157.3013	
   0.0000	 148.0000	   7.5000	   0.0000	   3.2174	   0.1630	 159.1386	 173.0215	
   2.5000	 148.0000	   7.5000	   0.0543	   3.2174	   0.1630	 161.8037	 163.6200	
   5.0000	 148.0000	   7.5000	   0.1087	   3.2174	   0.1630	 160.5225	 147.6650	
   7.5000	 148.0000	   7.5000	   0.1630	   3.2174	   0.1630	 159.2413	 131.7100	
  10.0000	 148.0000	   7.5000	   0.2174	   3.2174	   0.1630	 156.4796	 116.3875	
  12.5000	 148.0000	   7.5000	   0.2717	   3.2174	   0.1630	 148.0431	 103.4894	
  15.0000	 148.0000	   7.5000	   0.3261	   3.2174	   0.1630	 138.1262	  91.2238	
  17.5000	 148.0000	   7.5000	   0.3804	   3.2174	   0.1630	 128.2094	  78.9581	
  20.0000	 148.0000	   7.5000	   0.4348	   3.2174	   0.1630	 118.2925	  66.6925	
 -20.0000	 148.0000	  10.0000	  -0.4348	   3.2174	   0.2174	  17.0638	  28.4100	
 -17.5000	 148.0000	  10.0000	  -0.3804	   3.2174	   0.2174	  29.7972	  40.7284	
 -15.0000	 148.0000	  10.0000	  -0.3261	   3.2174	   0.2174	  42.5331	  52.9956	
 -12.5000	 148.0000	  10.0000	  -0.2717	   3.2174	   0.2174	  55.2691	  65.2628	
 -10.0000	 148.0000	  10.0000	  -0.2174	   3.2174	   0.2174	  69.0159	  78.5763	
  -7.5000	 148.0000	  10.0000	  -0.1630	   3.2174	   0.2174	  84.9487	  94.1525	
  -5.0000	 148.0000	  10.0000	  -0.1087	   3.2174	   0.2174	 101.8925	 110.7750	
  -2.5000	 148.0000	  10.0000	  -0.0543	   3.2174	   0.2174	 118.8362	 127.3975	
   0.0000	 148.0000	  10.0000	   0.0000	   3.2174	   0.2174	 132.0903	 137.9528	
   2.5000	 148.0000	  10.0000	   0.0543	   3.2174	   0.2174	 136.1200	 133.3400	
   5.0000	 148.0000	  10.0000	   0.1087	   3.2174	   0.2174	 136.4600	 122.6600	
   7.5000	 148.0000	  10.0000	   0.1630	   3.2174	   0.2174	 136.8000	 111.9800	
  10.0000	 148.0000	  10.0000	   0.2174	   3.2174	   0.2174	 135.6558	 101.6997	
  12.5000	 148.0000	  10.0000	   0.2717	   3.2174	   0.2174	 130.8013	  92.4187	
  15.0000	 148.0000	  10.0000	   0.3261	   3.2174	   0.2174	 124.4625	  83.5375	
  17.5000	 148.0000	  10.0000	   0.3804	   3.2174	   0.2174	 118.1238	  74.6563	
  20.0000	 148.0000	  10.0000	   0.4348	   3.2174	   0.2174	 111.7850	  65.7750	
 -20.0000	 148.0000	  12.5000	  -0.4348	   3.2174	   0.2717	  16.8606	  27.0543	
 -17.5000	 148.0000	  12.5000	  -0.3804	   3.2174	   0.2717	  27.6302	  36.5183	
 -15.0000	 148.0000	  12.5000	  -0.3261	   3.2174	   0.2717	  38.3809	  45.8722	
 -12.5000	 148.0000	  12.5000	  -0.2717	   3.2174	   0.2717	  49.1317	  55.2261	
 -10.0000	 148.0000	  12.5000	  -0.2174	   3.2174	   0.2717	  60.1431	  64.8816	
