Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "West_y=-31mm_Tec" I=17 J=25 F=POINT
 -20.0000	 -31.0000	   5.0000	  -0.4348	  -0.6739	   0.1087	  63.2000	  31.9100	
 -17.5000	 -31.0000	   5.0000	  -0.3804	  -0.6739	   0.1087	  68.6975	  41.4175	
 -15.0000	 -31.0000	   5.0000	  -0.3261	  -0.6739	   0.1087	  74.1950	  50.9250	
 -12.5000	 -31.0000	   5.0000	  -0.2717	  -0.6739	   0.1087	  79.6925	  60.4325	
 -10.0000	 -31.0000	   5.0000	  -0.2174	  -0.6739	   0.1087	  85.1900	  69.9400	
  -7.5000	 -31.0000	   5.0000	  -0.1630	  -0.6739	   0.1087	  82.3375	  79.5175	
  -5.0000	 -31.0000	   5.0000	  -0.1087	  -0.6739	   0.1087	  79.4850	  89.0950	
  -2.5000	 -31.0000	   5.0000	  -0.0543	  -0.6739	   0.1087	  76.6325	  98.6725	
   0.0000	 -31.0000	   5.0000	   0.0000	  -0.6739	   0.1087	  73.7800	 108.2500	
   2.5000	 -31.0000	   5.0000	   0.0543	  -0.6739	   0.1087	  60.4250	  93.8950	
   5.0000	 -31.0000	   5.0000	   0.1087	  -0.6739	   0.1087	  47.0700	  79.5400	
   7.5000	 -31.0000	   5.0000	   0.1630	  -0.6739	   0.1087	  33.7150	  65.1850	
  10.0000	 -31.0000	   5.0000	   0.2174	  -0.6739	   0.1087	  20.3600	  50.8300	
  12.5000	 -31.0000	   5.0000	   0.2717	  -0.6739	   0.1087	  18.0650	  44.5800	
  15.0000	 -31.0000	   5.0000	   0.3261	  -0.6739	   0.1087	  15.7700	  38.3300	
  17.5000	 -31.0000	   5.0000	   0.3804	  -0.6739	   0.1087	  13.4750	  32.0800	
  20.0000	 -31.0000	   5.0000	   0.4348	  -0.6739	   0.1087	  11.1800	  25.8300	
 -20.0000	 -31.0000	   7.5000	  -0.4348	  -0.6739	   0.1630	  58.2025	  31.6650	
 -17.5000	 -31.0000	   7.5000	  -0.3804	  -0.6739	   0.1630	  61.6325	  39.3444	
 -15.0000	 -31.0000	   7.5000	  -0.3261	  -0.6739	   0.1630	  65.0625	  47.0237	
 -12.5000	 -31.0000	   7.5000	  -0.2717	  -0.6739	   0.1630	  68.4925	  54.7031	
 -10.0000	 -31.0000	   7.5000	  -0.2174	  -0.6739	   0.1630	  70.7925	  62.1739	
  -7.5000	 -31.0000	   7.5000	  -0.1630	  -0.6739	   0.1630	  68.7606	  68.8450	
