Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "West_y=87mm_Tec" I=17 J=25 F=POINT
 -20.0000	  87.0000	   5.0000	  -0.4348	   1.8913	   0.1087	  87.1493	  42.7228	
 -17.5000	  87.0000	   5.0000	  -0.3804	   1.8913	   0.1087	  84.4806	  54.9925	
 -15.0000	  87.0000	   5.0000	  -0.3261	   1.8913	   0.1087	  81.8338	  67.3550	
 -12.5000	  87.0000	   5.0000	  -0.2717	   1.8913	   0.1087	  79.1869	  79.7175	
 -10.0000	  87.0000	   5.0000	  -0.2174	   1.8913	   0.1087	  76.5400	  92.0800	
  -7.5000	  87.0000	   5.0000	  -0.1630	   1.8913	   0.1087	  64.2575	  80.9700	
  -5.0000	  87.0000	   5.0000	  -0.1087	   1.8913	   0.1087	  51.9750	  69.8600	
  -2.5000	  87.0000	   5.0000	  -0.0543	   1.8913	   0.1087	  39.6925	  58.7500	
   0.0000	  87.0000	   5.0000	   0.0000	   1.8913	   0.1087	  27.4100	  47.6400	
   2.5000	  87.0000	   5.0000	   0.0543	   1.8913	   0.1087	  24.2200	  39.7750	
   5.0000	  87.0000	   5.0000	   0.1087	   1.8913	   0.1087	  21.0300	  31.9100	
   7.5000	  87.0000	   5.0000	   0.1630	   1.8913	   0.1087	  17.8400	  24.0450	
  10.0000	  87.0000	   5.0000	   0.2174	   1.8913	   0.1087	  14.6500	  16.1800	
  12.5000	  87.0000	   5.0000	   0.2717	   1.8913	   0.1087	  14.4125	  15.2825	
  15.0000	  87.0000	   5.0000	   0.3261	   1.8913	   0.1087	  14.1750	  14.3850	
  17.5000	  87.0000	   5.0000	   0.3804	   1.8913	   0.1087	  13.9375	  13.4875	
  20.0000	  87.0000	   5.0000	   0.4348	   1.8913	   0.1087	  13.7000	  12.5900	
 -20.0000	  87.0000	   7.5000	  -0.4348	   1.8913	   0.1630	  78.6943	  43.3406	
 -17.5000	  87.0000	   7.5000	  -0.3804	   1.8913	   0.1630	  75.2638	  51.5442	
 -15.0000	  87.0000	   7.5000	  -0.3261	   1.8913	   0.1630	  71.6575	  59.8278	
 -12.5000	  87.0000	   7.5000	  -0.2717	   1.8913	   0.1630	  68.0513	  68.1114	
 -10.0000	  87.0000	   7.5000	  -0.2174	   1.8913	   0.1630	  63.2879	  73.1806	
  -7.5000	  87.0000	   7.5000	  -0.1630	   1.8913	   0.1630	  54.6338	  67.4413	
  -5.0000	  87.0000	   7.5000	  -0.1087	   1.8913	   0.1630	  44.8225	  58.4875	
  -2.5000	  87.0000	   7.5000	  -0.0543	   1.8913	   0.1630	  35.0112	  49.5338	
   0.0000	  87.0000	   7.5000	   0.0000	   1.8913	   0.1630	  26.4198	  41.0284	
   2.5000	  87.0000	   7.5000	   0.0543	   1.8913	   0.1630	  22.5044	  34.2419	
   5.0000	  87.0000	   7.5000	   0.1087	   1.8913	   0.1630	  19.8088	  27.9038	
   7.5000	  87.0000	   7.5000	   0.1630	   1.8913	   0.1630	  17.1131	  21.5656	
  10.0000	  87.0000	   7.5000	   0.2174	   1.8913	   0.1630	  14.8147	  16.1614	
  12.5000	  87.0000	   7.5000	   0.2717	   1.8913	   0.1630	  14.0387	  14.3369	
  15.0000	  87.0000	   7.5000	   0.3261	   1.8913	   0.1630	  13.6600	  13.4463	
  17.5000	  87.0000	   7.5000	   0.3804	   1.8913	   0.1630	  13.2812	  12.5556	
  20.0000	  87.0000	   7.5000	   0.4348	   1.8913	   0.1630	  12.9025	  11.6650	
 -20.0000	  87.0000	  10.0000	  -0.4348	   1.8913	   0.2174	  70.2393	  43.9584	
 -17.5000	  87.0000	  10.0000	  -0.3804	   1.8913	   0.2174	  66.0469	  48.0959	
 -15.0000	  87.0000	  10.0000	  -0.3261	   1.8913	   0.2174	  61.4813	  52.3006	
 -12.5000	  87.0000	  10.0000	  -0.2717	   1.8913	   0.2174	  56.9156	  56.5053	
 -10.0000	  87.0000	  10.0000	  -0.2174	   1.8913	   0.2174	  51.6835	  58.0668	
  -7.5000	  87.0000	  10.0000	  -0.1630	   1.8913	   0.2174	  45.0100	  53.9125	
  -5.0000	  87.0000	  10.0000	  -0.1087	   1.8913	   0.2174	  37.6700	  47.1150	
  -2.5000	  87.0000	  10.0000	  -0.0543	   1.8913	   0.2174	  30.3300	  40.3175	
   0.0000	  87.0000	  10.0000	   0.0000	   1.8913	   0.2174	  24.1319	  33.9614	
   2.5000	  87.0000	  10.0000	   0.0543	   1.8913	   0.2174	  20.7888	  28.7088	
   5.0000	  87.0000	  10.0000	   0.1087	   1.8913	   0.2174	  18.5875	  23.8975	
