Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "Trees_West_y=-36mm_Tec" I=17 J=25 F=POINT
 -20.0000	 -31.0000	   5.0000	  -0.4348	  -0.6739	   0.1087	 140.9500	  53.9300	
 -17.5000	 -31.0000	   5.0000	  -0.3804	  -0.6739	   0.1087	 159.2250	  74.0400	
 -15.0000	 -31.0000	   5.0000	  -0.3261	  -0.6739	   0.1087	 177.5000	  94.1500	
 -12.5000	 -31.0000	   5.0000	  -0.2717	  -0.6739	   0.1087	 195.7750	 114.2600	
 -10.0000	 -31.0000	   5.0000	  -0.2174	  -0.6739	   0.1087	 214.0500	 134.3700	
  -7.5000	 -31.0000	   5.0000	  -0.1630	  -0.6739	   0.1087	 228.9350	 161.0250	
  -5.0000	 -31.0000	   5.0000	  -0.1087	  -0.6739	   0.1087	 243.8200	 187.6800	
  -2.5000	 -31.0000	   5.0000	  -0.0543	  -0.6739	   0.1087	 258.7050	 214.3350	
   0.0000	 -31.0000	   5.0000	   0.0000	  -0.6739	   0.1087	 273.5900	 240.9900	
   2.5000	 -31.0000	   5.0000	   0.0543	  -0.6739	   0.1087	 224.6925	 206.3150	
   5.0000	 -31.0000	   5.0000	   0.1087	  -0.6739	   0.1087	 175.7950	 171.6400	
   7.5000	 -31.0000	   5.0000	   0.1630	  -0.6739	   0.1087	 126.8975	 136.9650	
  10.0000	 -31.0000	   5.0000	   0.2174	  -0.6739	   0.1087	  78.0000	 102.2900	
  12.5000	 -31.0000	   5.0000	   0.2717	  -0.6739	   0.1087	  66.3200	  88.9350	
  15.0000	 -31.0000	   5.0000	   0.3261	  -0.6739	   0.1087	  54.6400	  75.5800	
  17.5000	 -31.0000	   5.0000	   0.3804	  -0.6739	   0.1087	  42.9600	  62.2250	
  20.0000	 -31.0000	   5.0000	   0.4348	  -0.6739	   0.1087	  31.2800	  48.8700	
 -20.0000	 -31.0000	   7.5000	  -0.4348	  -0.6739	   0.1630	 141.3425	  54.5075	
 -17.5000	 -31.0000	   7.5000	  -0.3804	  -0.6739	   0.1630	 152.3625	  69.8063	
 -15.0000	 -31.0000	   7.5000	  -0.3261	  -0.6739	   0.1630	 163.3825	  85.1050	
 -12.5000	 -31.0000	   7.5000	  -0.2717	  -0.6739	   0.1630	 174.4025	 100.4037	
 -10.0000	 -31.0000	   7.5000	  -0.2174	  -0.6739	   0.1630	 184.9651	 116.5331	
  -7.5000	 -31.0000	   7.5000	  -0.1630	  -0.6739	   0.1630	 193.7744	 135.8462	
  -5.0000	 -31.0000	   7.5000	  -0.1087	  -0.6739	   0.1630	 202.1262	 155.9900	
  -2.5000	 -31.0000	   7.5000	  -0.0543	  -0.6739	   0.1630	 210.4781	 176.1337	
   0.0000	 -31.0000	   7.5000	   0.0000	  -0.6739	   0.1630	 210.8127	 188.0535	
   2.5000	 -31.0000	   7.5000	   0.0543	  -0.6739	   0.1630	 180.4144	 168.4481	
   5.0000	 -31.0000	   7.5000	   0.1087	  -0.6739	   0.1630	 141.9988	 140.6188	
   7.5000	 -31.0000	   7.5000	   0.1630	  -0.6739	   0.1630	 103.5831	 112.7894	
  10.0000	 -31.0000	   7.5000	   0.2174	  -0.6739	   0.1630	  70.1463	  87.9077	
  12.5000	 -31.0000	   7.5000	   0.2717	  -0.6739	   0.1630	  55.7950	  74.3256	
