Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "Trees_West_y=136mm_Tec" I=17 J=25 F=POINT
 -20.0000	 148.0000	   5.0000	  -0.4348	   3.2174	   0.1087	 133.9364	  64.2652	
 -17.5000	 148.0000	   5.0000	  -0.3804	   3.2174	   0.1087	 142.6862	  88.8425	
 -15.0000	 148.0000	   5.0000	  -0.3261	   3.2174	   0.1087	 151.5175	 113.5550	
 -12.5000	 148.0000	   5.0000	  -0.2717	   3.2174	   0.1087	 160.3487	 138.2675	
 -10.0000	 148.0000	   5.0000	  -0.2174	   3.2174	   0.1087	 169.1800	 162.9800	
  -7.5000	 148.0000	   5.0000	  -0.1630	   3.2174	   0.1087	 142.1475	 153.3225	
  -5.0000	 148.0000	   5.0000	  -0.1087	   3.2174	   0.1087	 115.1150	 143.6650	
  -2.5000	 148.0000	   5.0000	  -0.0543	   3.2174	   0.1087	  88.0825	 134.0075	
   0.0000	 148.0000	   5.0000	   0.0000	   3.2174	   0.1087	  61.0500	 124.3500	
   2.5000	 148.0000	   5.0000	   0.0543	   3.2174	   0.1087	  49.7925	 100.6775	
   5.0000	 148.0000	   5.0000	   0.1087	   3.2174	   0.1087	  38.5350	  77.0050	
   7.5000	 148.0000	   5.0000	   0.1630	   3.2174	   0.1087	  27.2775	  53.3325	
  10.0000	 148.0000	   5.0000	   0.2174	   3.2174	   0.1087	  16.0200	  29.6600	
  12.5000	 148.0000	   5.0000	   0.2717	   3.2174	   0.1087	  14.4700	  25.9275	
  15.0000	 148.0000	   5.0000	   0.3261	   3.2174	   0.1087	  12.9200	  22.1950	
  17.5000	 148.0000	   5.0000	   0.3804	   3.2174	   0.1087	  11.3700	  18.4625	
  20.0000	 148.0000	   5.0000	   0.4348	   3.2174	   0.1087	   9.8200	  14.7300	
 -20.0000	 148.0000	   7.5000	  -0.4348	   3.2174	   0.1630	 121.1981	  63.0241	
 -17.5000	 148.0000	   7.5000	  -0.3804	   3.2174	   0.1630	 126.7708	  81.7864	
 -15.0000	 148.0000	   7.5000	  -0.3261	   3.2174	   0.1630	 132.0247	 100.5559	
 -12.5000	 148.0000	   7.5000	  -0.2717	   3.2174	   0.1630	 137.2786	 119.3255	
 -10.0000	 148.0000	   7.5000	  -0.2174	   3.2174	   0.1630	 137.3128	 132.8945	
  -7.5000	 148.0000	   7.5000	  -0.1630	   3.2174	   0.1630	 119.7956	 128.9769	
  -5.0000	 148.0000	   7.5000	  -0.1087	   3.2174	   0.1630	  97.0588	 119.8587	
  -2.5000	 148.0000	   7.5000	  -0.0543	   3.2174	   0.1630	  74.3219	 110.7406	
   0.0000	 148.0000	   7.5000	   0.0000	   3.2174	   0.1630	  53.9073	  99.9767	
   2.5000	 148.0000	   7.5000	   0.0543	   3.2174	   0.1630	  42.3950	  82.9037	
   5.0000	 148.0000	   7.5000	   0.1087	   3.2174	   0.1630	  33.2050	  64.1850	
   7.5000	 148.0000	   7.5000	   0.1630	   3.2174	   0.1630	  24.0150	  45.4663	
  10.0000	 148.0000	   7.5000	   0.2174	   3.2174	   0.1630	  16.1654	  29.3974	
  12.5000	 148.0000	   7.5000	   0.2717	   3.2174	   0.1630	  13.4538	  23.4862	
  15.0000	 148.0000	   7.5000	   0.3261	   3.2174	   0.1630	  12.0825	  20.2250	
  17.5000	 148.0000	   7.5000	   0.3804	   3.2174	   0.1630	  10.7112	  16.9638	
  20.0000	 148.0000	   7.5000	   0.4348	   3.2174	   0.1630	   9.3400	  13.7025	
 -20.0000	 148.0000	  10.0000	  -0.4348	   3.2174	   0.2174	 108.4599	  61.7829	
 -17.5000	 148.0000	  10.0000	  -0.3804	   3.2174	   0.2174	 110.8553	  74.7303	
 -15.0000	 148.0000	  10.0000	  -0.3261	   3.2174	   0.2174	 112.5319	  87.5569	
 -12.5000	 148.0000	  10.0000	  -0.2717	   3.2174	   0.2174	 114.2084	 100.3834	
