Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "West_z=7" I=17 J=129 F=POINT
 -20.0000	-155.0000	   7.5000	  -0.4348	  -3.3696	   0.1630	   2.9500	  12.7000	
 -17.5000	-155.0000	   7.5000	  -0.3804	  -3.3696	   0.1630	   5.1925	  17.4325	
 -15.0000	-155.0000	   7.5000	  -0.3261	  -3.3696	   0.1630	   7.4350	  22.1650	
 -12.5000	-155.0000	   7.5000	  -0.2717	  -3.3696	   0.1630	   9.6775	  26.8975	
 -10.0000	-155.0000	   7.5000	  -0.2174	  -3.3696	   0.1630	  11.9200	  31.6300	
  -7.5000	-155.0000	   7.5000	  -0.1630	  -3.3696	   0.1630	  12.2675	  31.1975	
  -5.0000	-155.0000	   7.5000	  -0.1087	  -3.3696	   0.1630	  12.6150	  30.7650	
  -2.5000	-155.0000	   7.5000	  -0.0543	  -3.3696	   0.1630	  12.9625	  30.3325	
   0.0000	-155.0000	   7.5000	   0.0000	  -3.3696	   0.1630	  13.3100	  29.9000	
   2.5000	-155.0000	   7.5000	   0.0543	  -3.3696	   0.1630	  11.7575	  25.8550	
   5.0000	-155.0000	   7.5000	   0.1087	  -3.3696	   0.1630	  10.2050	  21.8100	
   7.5000	-155.0000	   7.5000	   0.1630	  -3.3696	   0.1630	   8.6525	  17.7650	
  10.0000	-155.0000	   7.5000	   0.2174	  -3.3696	   0.1630	   7.1000	  13.7200	
  12.5000	-155.0000	   7.5000	   0.2717	  -3.3696	   0.1630	   6.3150	  12.2775	
  15.0000	-155.0000	   7.5000	   0.3261	  -3.3696	   0.1630	   5.5300	  10.8350	
  17.5000	-155.0000	   7.5000	   0.3804	  -3.3696	   0.1630	   4.7450	   9.3925	
  20.0000	-155.0000	   7.5000	   0.4348	  -3.3696	   0.1630	   3.9600	   7.9500	
 -20.0000	-152.5000	   7.5000	  -0.4348	  -3.3152	   0.1630	   9.0093	  17.8868	
 -17.5000	-152.5000	   7.5000	  -0.3804	  -3.3152	   0.1630	  10.0859	  21.6845	
 -15.0000	-152.5000	   7.5000	  -0.3261	  -3.3152	   0.1630	  11.1625	  25.4822	
 -12.5000	-152.5000	   7.5000	  -0.2717	  -3.3152	   0.1630	  12.2391	  29.2799	
 -10.0000	-152.5000	   7.5000	  -0.2174	  -3.3152	   0.1630	  13.0304	  31.8870	
  -7.5000	-152.5000	   7.5000	  -0.1630	  -3.3152	   0.1630	  13.2534	  32.1220	
  -5.0000	-152.5000	   7.5000	  -0.1087	  -3.3152	   0.1630	  13.1910	  31.1663	
  -2.5000	-152.5000	   7.5000	  -0.0543	  -3.3152	   0.1630	  13.1287	  30.2107	
   0.0000	-152.5000	   7.5000	   0.0000	  -3.3152	   0.1630	  12.7095	  28.5175	
   2.5000	-152.5000	   7.5000	   0.0543	  -3.3152	   0.1630	  11.5792	  25.3551	
   5.0000	-152.5000	   7.5000	   0.1087	  -3.3152	   0.1630	  10.0921	  21.4553	
   7.5000	-152.5000	   7.5000	   0.1630	  -3.3152	   0.1630	   8.6050	  17.5554	
  10.0000	-152.5000	   7.5000	   0.2174	  -3.3152	   0.1630	   7.2916	  14.2946	
  12.5000	-152.5000	   7.5000	   0.2717	  -3.3152	   0.1630	   6.3244	  12.3071	
  15.0000	-152.5000	   7.5000	   0.3261	  -3.3152	   0.1630	   5.5309	  10.9586	
  17.5000	-152.5000	   7.5000	   0.3804	  -3.3152	   0.1630	   4.7374	   9.6102	
  20.0000	-152.5000	   7.5000	   0.4348	  -3.3152	   0.1630	   3.9439	   8.2617	
 -20.0000	-150.0000	   7.5000	  -0.4348	  -3.2609	   0.1630	  15.0687	  23.0736	
 -17.5000	-150.0000	   7.5000	  -0.3804	  -3.2609	   0.1630	  14.9794	  25.9365	
 -15.0000	-150.0000	   7.5000	  -0.3261	  -3.2609	   0.1630	  14.8900	  28.7995	
 -12.5000	-150.0000	   7.5000	  -0.2717	  -3.2609	   0.1630	  14.7900	  31.5411	
 -10.0000	-150.0000	   7.5000	  -0.2174	  -3.2609	   0.1630	  14.5713	  32.9371	
  -7.5000	-150.0000	   7.5000	  -0.1630	  -3.2609	   0.1630	  14.2285	  32.9252	
  -5.0000	-150.0000	   7.5000	  -0.1087	  -3.2609	   0.1630	  13.7670	  31.5677	
  -2.5000	-150.0000	   7.5000	  -0.0543	  -3.2609	   0.1630	  13.2683	  30.0253	
   0.0000	-150.0000	   7.5000	   0.0000	  -3.2609	   0.1630	  12.4753	  27.7775	
   2.5000	-150.0000	   7.5000	   0.0543	  -3.2609	   0.1630	  11.3744	  24.7917	
   5.0000	-150.0000	   7.5000	   0.1087	  -3.2609	   0.1630	   9.9793	  21.1005	
   7.5000	-150.0000	   7.5000	   0.1630	  -3.2609	   0.1630	   8.5749	  17.4156	
  10.0000	-150.0000	   7.5000	   0.2174	  -3.2609	   0.1630	   7.3625	  14.5056	
  12.5000	-150.0000	   7.5000	   0.2717	  -3.2609	   0.1630	   6.3511	  12.4065	
  15.0000	-150.0000	   7.5000	   0.3261	  -3.2609	   0.1630	   5.5318	  11.0822	
  17.5000	-150.0000	   7.5000	   0.3804	  -3.2609	   0.1630	   4.7298	   9.8279	
  20.0000	-150.0000	   7.5000	   0.4348	  -3.2609	   0.1630	   3.9278	   8.5735	
 -20.0000	-147.5000	   7.5000	  -0.4348	  -3.2065	   0.1630	  21.1280	  28.2604	
 -17.5000	-147.5000	   7.5000	  -0.3804	  -3.2065	   0.1630	  19.8728	  30.1886	
 -15.0000	-147.5000	   7.5000	  -0.3261	  -3.2065	   0.1630	  18.6176	  32.1167	
 -12.5000	-147.5000	   7.5000	  -0.2717	  -3.2065	   0.1630	  17.3775	  33.8847	
 -10.0000	-147.5000	   7.5000	  -0.2174	  -3.2065	   0.1630	  16.2525	  34.4413	
  -7.5000	-147.5000	   7.5000	  -0.1630	  -3.2065	   0.1630	  15.2403	  33.8109	
  -5.0000	-147.5000	   7.5000	  -0.1087	  -3.2065	   0.1630	  14.3430	  31.9690	
  -2.5000	-147.5000	   7.5000	  -0.0543	  -3.2065	   0.1630	  13.4417	  29.9015	
   0.0000	-147.5000	   7.5000	   0.0000	  -3.2065	   0.1630	  12.3942	  27.3385	
   2.5000	-147.5000	   7.5000	   0.0543	  -3.2065	   0.1630	  11.2034	  24.2899	
   5.0000	-147.5000	   7.5000	   0.1087	  -3.2065	   0.1630	   9.8664	  20.7458	
   7.5000	-147.5000	   7.5000	   0.1630	  -3.2065	   0.1630	   8.5323	  17.2359	
  10.0000	-147.5000	   7.5000	   0.2174	  -3.2065	   0.1630	   7.3664	  14.4810	
  12.5000	-147.5000	   7.5000	   0.2717	  -3.2065	   0.1630	   6.3655	  12.4660	
  15.0000	-147.5000	   7.5000	   0.3261	  -3.2065	   0.1630	   5.5327	  11.2059	
  17.5000	-147.5000	   7.5000	   0.3804	  -3.2065	   0.1630	   4.7222	  10.0456	
  20.0000	-147.5000	   7.5000	   0.4348	  -3.2065	   0.1630	   3.9116	   8.8852	
 -20.0000	-145.0000	   7.5000	  -0.4348	  -3.1522	   0.1630	  27.1874	  33.4473	
 -17.5000	-145.0000	   7.5000	  -0.3804	  -3.1522	   0.1630	  24.7662	  34.4406	
 -15.0000	-145.0000	   7.5000	  -0.3261	  -3.1522	   0.1630	  22.3451	  35.4339	
 -12.5000	-145.0000	   7.5000	  -0.2717	  -3.1522	   0.1630	  19.9378	  36.3841	
 -10.0000	-145.0000	   7.5000	  -0.2174	  -3.1522	   0.1630	  17.8756	  36.2591	
  -7.5000	-145.0000	   7.5000	  -0.1630	  -3.1522	   0.1630	  16.2248	  34.8523	
  -5.0000	-145.0000	   7.5000	  -0.1087	  -3.1522	   0.1630	  14.9191	  32.3703	
  -2.5000	-145.0000	   7.5000	  -0.0543	  -3.1522	   0.1630	  13.6272	  29.8336	
   0.0000	-145.0000	   7.5000	   0.0000	  -3.1522	   0.1630	  12.3357	  27.0099	
   2.5000	-145.0000	   7.5000	   0.0543	  -3.1522	   0.1630	  11.0444	  23.8440	
   5.0000	-145.0000	   7.5000	   0.1087	  -3.1522	   0.1630	   9.7535	  20.3910	
   7.5000	-145.0000	   7.5000	   0.1630	  -3.1522	   0.1630	   8.4684	  16.9560	
  10.0000	-145.0000	   7.5000	   0.2174	  -3.1522	   0.1630	   7.3274	  14.2537	
  12.5000	-145.0000	   7.5000	   0.2717	  -3.1522	   0.1630	   6.3584	  12.4252	
  15.0000	-145.0000	   7.5000	   0.3261	  -3.1522	   0.1630	   5.5336	  11.3295	
  17.5000	-145.0000	   7.5000	   0.3804	  -3.1522	   0.1630	   4.7145	  10.2632	
  20.0000	-145.0000	   7.5000	   0.4348	  -3.1522	   0.1630	   3.8955	   9.1970	
 -20.0000	-142.5000	   7.5000	  -0.4348	  -3.0978	   0.1630	  33.2467	  38.6341	
 -17.5000	-142.5000	   7.5000	  -0.3804	  -3.0978	   0.1630	  29.6597	  38.6926	
 -15.0000	-142.5000	   7.5000	  -0.3261	  -3.0978	   0.1630	  26.0725	  38.7501	
 -12.5000	-142.5000	   7.5000	  -0.2717	  -3.0978	   0.1630	  22.4855	  38.8097	
 -10.0000	-142.5000	   7.5000	  -0.2174	  -3.0978	   0.1630	  19.2125	  38.3507	
  -7.5000	-142.5000	   7.5000	  -0.1630	  -3.0978	   0.1630	  17.1968	  35.8199	
  -5.0000	-142.5000	   7.5000	  -0.1087	  -3.0978	   0.1630	  15.4970	  32.7739	
  -2.5000	-142.5000	   7.5000	  -0.0543	  -3.0978	   0.1630	  13.7934	  29.7233	
   0.0000	-142.5000	   7.5000	   0.0000	  -3.0978	   0.1630	  12.1710	  26.6299	
   2.5000	-142.5000	   7.5000	   0.0543	  -3.0978	   0.1630	  10.8662	  23.3557	
   5.0000	-142.5000	   7.5000	   0.1087	  -3.0978	   0.1630	   9.6407	  20.0375	
   7.5000	-142.5000	   7.5000	   0.1630	  -3.0978	   0.1630	   8.4151	  16.7169	
  10.0000	-142.5000	   7.5000	   0.2174	  -3.0978	   0.1630	   7.2559	  13.7885	
  12.5000	-142.5000	   7.5000	   0.2717	  -3.0978	   0.1630	   6.3620	  12.4253	
  15.0000	-142.5000	   7.5000	   0.3261	  -3.0978	   0.1630	   5.5341	  11.4525	
  17.5000	-142.5000	   7.5000	   0.3804	  -3.0978	   0.1630	   4.7069	  10.4809	
  20.0000	-142.5000	   7.5000	   0.4348	  -3.0978	   0.1630	   3.8794	   9.5087	
 -20.0000	-140.0000	   7.5000	  -0.4348	  -3.0435	   0.1630	  38.4812	  42.7373	
 -17.5000	-140.0000	   7.5000	  -0.3804	  -3.0435	   0.1630	  34.1269	  42.2726	
 -15.0000	-140.0000	   7.5000	  -0.3261	  -3.0435	   0.1630	  29.7780	  41.8051	
 -12.5000	-140.0000	   7.5000	  -0.2717	  -3.0435	   0.1630	  25.4310	  41.3601	
 -10.0000	-140.0000	   7.5000	  -0.2174	  -3.0435	   0.1630	  21.3400	  40.5032	
  -7.5000	-140.0000	   7.5000	  -0.1630	  -3.0435	   0.1630	  18.8097	  37.3135	
  -5.0000	-140.0000	   7.5000	  -0.1087	  -3.0435	   0.1630	  16.5570	  33.7478	
  -2.5000	-140.0000	   7.5000	  -0.0543	  -3.0435	   0.1630	  14.2628	  30.1328	
   0.0000	-140.0000	   7.5000	   0.0000	  -3.0435	   0.1630	  12.1207	  26.5782	
   2.5000	-140.0000	   7.5000	   0.0543	  -3.0435	   0.1630	  10.7635	  23.2658	
   5.0000	-140.0000	   7.5000	   0.1087	  -3.0435	   0.1630	   9.5380	  20.0029	
   7.5000	-140.0000	   7.5000	   0.1630	  -3.0435	   0.1630	   8.3117	  16.7124	
  10.0000	-140.0000	   7.5000	   0.2174	  -3.0435	   0.1630	   7.1381	  13.7221	
  12.5000	-140.0000	   7.5000	   0.2717	  -3.0435	   0.1630	   6.2660	  12.4284	
  15.0000	-140.0000	   7.5000	   0.3261	  -3.0435	   0.1630	   5.4422	  11.4141	
  17.5000	-140.0000	   7.5000	   0.3804	  -3.0435	   0.1630	   4.6264	  10.4137	
  20.0000	-140.0000	   7.5000	   0.4348	  -3.0435	   0.1630	   3.8070	   9.4095	
 -20.0000	-137.5000	   7.5000	  -0.4348	  -2.9891	   0.1630	  42.5697	  45.3352	
 -17.5000	-137.5000	   7.5000	  -0.3804	  -2.9891	   0.1630	  38.0131	  44.9366	
 -15.0000	-137.5000	   7.5000	  -0.3261	  -2.9891	   0.1630	  33.4565	  44.5380	
 -12.5000	-137.5000	   7.5000	  -0.2717	  -2.9891	   0.1630	  28.9091	  44.1160	
 -10.0000	-137.5000	   7.5000	  -0.2174	  -2.9891	   0.1630	  24.8077	  42.5694	
  -7.5000	-137.5000	   7.5000	  -0.1630	  -2.9891	   0.1630	  21.2866	  39.5592	
