Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"V [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"V/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_V/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'v'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "z=8mm_ImgMean_16x32x64_MovingAvgf3x3" I=17 J=65 F=POINT
 -20.0000	-161.0000	   8.0000	  -0.4348	  -3.5000	   0.1739	   0.1737	  -0.5517	   0.5785	   0.0290	  -0.0919	   0.0467	   0.0867	   0.0073	   0.0017	  -0.4236	   1.0679	   0.6773	   7.3907	   6.0825	   0.0964	
 -17.5000	-161.0000	   8.0000	  -0.3804	  -3.5000	   0.1739	   0.2050	  -0.5689	   0.6047	   0.0342	  -0.0948	   0.0465	   0.0848	   0.0070	   0.0016	  -0.3966	   1.1409	   0.6491	   8.1969	   6.2186	   0.1008	
 -15.0000	-161.0000	   8.0000	  -0.3261	  -3.5000	   0.1739	   0.2413	  -0.5716	   0.6205	   0.0402	  -0.0953	   0.0462	   0.0807	   0.0065	   0.0012	  -0.3232	   1.1906	   0.6432	   8.9667	   6.3872	   0.1034	
 -12.5000	-161.0000	   8.0000	  -0.2717	  -3.5000	   0.1739	   0.2729	  -0.5642	   0.6267	   0.0455	  -0.0940	   0.0463	   0.0756	   0.0059	   0.0009	  -0.2535	   1.1671	   0.6457	   9.5031	   6.1408	   0.1045	
 -10.0000	-161.0000	   8.0000	  -0.2174	  -3.5000	   0.1739	   0.3017	  -0.5454	   0.6233	   0.0503	  -0.0909	   0.0453	   0.0713	   0.0054	   0.0006	  -0.1968	   1.2551	   0.7805	  10.9524	   6.4470	   0.1039	
  -7.5000	-161.0000	   8.0000	  -0.1630	  -3.5000	   0.1739	   0.3378	  -0.5400	   0.6369	   0.0563	  -0.0900	   0.0450	   0.0689	   0.0051	   0.0005	  -0.1577	   1.2008	   0.9048	  10.7122	   6.6917	   0.1062	
  -5.0000	-161.0000	   8.0000	  -0.1087	  -3.5000	   0.1739	   0.3588	  -0.5420	   0.6500	   0.0598	  -0.0903	   0.0450	   0.0679	   0.0050	   0.0004	  -0.1351	   1.0557	   1.1120	   9.8985	   6.7514	   0.1083	
  -2.5000	-161.0000	   8.0000	  -0.0543	  -3.5000	   0.1739	   0.3846	  -0.5653	   0.6838	   0.0641	  -0.0942	   0.0462	   0.0683	   0.0051	   0.0004	  -0.1414	   0.7558	   1.1078	   7.5955	   6.3671	   0.1140	
   0.0000	-161.0000	   8.0000	   0.0000	  -3.5000	   0.1739	   0.4022	  -0.5895	   0.7137	   0.0670	  -0.0983	   0.0477	   0.0683	   0.0052	   0.0004	  -0.1298	   0.6373	   1.0618	   6.9249	   6.1409	   0.1189	
   2.5000	-161.0000	   8.0000	   0.0543	  -3.5000	   0.1739	   0.4036	  -0.5975	   0.7210	   0.0673	  -0.0996	   0.0487	   0.0668	   0.0051	   0.0003	  -0.0864	   0.7268	   1.1406	   8.1401	   6.6053	   0.1202	
   5.0000	-161.0000	   8.0000	   0.1087	  -3.5000	   0.1739	   0.3929	  -0.5940	   0.7122	   0.0655	  -0.0990	   0.0496	   0.0643	   0.0049	   0.0001	  -0.0340	   0.7463	   1.2516	   9.4147	   7.2806	   0.1187	
   7.5000	-161.0000	   8.0000	   0.1630	  -3.5000	   0.1739	   0.3615	  -0.5817	   0.6848	   0.0602	  -0.0969	   0.0500	   0.0615	   0.0047	  -0.0000	   0.0065	   0.5542	   1.3839	   8.3919	   8.2258	   0.1141	
  10.0000	-161.0000	   8.0000	   0.2174	  -3.5000	   0.1739	   0.3118	  -0.5761	   0.6550	   0.0520	  -0.0960	   0.0501	   0.0599	   0.0046	   0.0001	  -0.0176	   0.4811	   1.6052	   7.2316	   9.8789	   0.1092	
  12.5000	-161.0000	   8.0000	   0.2717	  -3.5000	   0.1739	   0.2541	  -0.6063	   0.6574	   0.0424	  -0.1010	   0.0493	   0.0606	   0.0046	   0.0002	  -0.0775	   0.5148	   1.8466	   6.4146	  12.2317	   0.1096	
