Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"V [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"V/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_V/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'v'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "z=8mm_ImgMean_16x32x64_MovingAvgf3x3_SecondBlocks" I=17 J=68 F=POINT
 -20.0000	   2.0000	   8.0000	  -0.4348	   0.0435	   0.1739	  -0.2405	  -0.1471	   0.2821	  -0.0401	  -0.0245	   0.1062	   0.0615	   0.0113	  -0.0009	   0.1362	  -0.8986	   0.5115	   5.2598	   5.0904	   0.0470	
 -17.5000	   2.0000	   8.0000	  -0.3804	   0.0435	   0.1739	  -0.2505	  -0.1604	   0.2971	  -0.0417	  -0.0267	   0.1106	   0.0606	   0.0119	  -0.0009	   0.1404	  -0.8634	   0.4436	   5.4162	   5.1400	   0.0495	
 -15.0000	   2.0000	   8.0000	  -0.3261	   0.0435	   0.1739	  -0.2669	  -0.1858	   0.3251	  -0.0445	  -0.0310	   0.1154	   0.0590	   0.0126	  -0.0009	   0.1361	  -0.8361	   0.3657	   5.0620	   4.8811	   0.0542	
 -12.5000	   2.0000	   8.0000	  -0.2717	   0.0435	   0.1739	  -0.2991	  -0.2179	   0.3700	  -0.0498	  -0.0363	   0.1199	   0.0575	   0.0133	  -0.0009	   0.1256	  -0.8184	   0.3425	   4.9904	   5.4820	   0.0617	
 -10.0000	   2.0000	   8.0000	  -0.2174	   0.0435	   0.1739	  -0.3491	  -0.2529	   0.4310	  -0.0582	  -0.0422	   0.1231	   0.0563	   0.0137	  -0.0008	   0.1120	  -0.7921	   0.3047	   4.9121	   5.9744	   0.0718	
  -7.5000	   2.0000	   8.0000	  -0.1630	   0.0435	   0.1739	  -0.4180	  -0.2941	   0.5110	  -0.0697	  -0.0490	   0.1255	   0.0550	   0.0141	  -0.0007	   0.1010	  -0.7345	   0.3593	   4.6593	   5.5887	   0.0852	
  -5.0000	   2.0000	   8.0000	  -0.1087	   0.0435	   0.1739	  -0.4995	  -0.3366	   0.6023	  -0.0833	  -0.0561	   0.1277	   0.0540	   0.0144	  -0.0007	   0.1026	  -0.6508	   0.4704	   4.5001	   4.8436	   0.1004	
  -2.5000	   2.0000	   8.0000	  -0.0543	   0.0435	   0.1739	  -0.5937	  -0.3772	   0.7033	  -0.0990	  -0.0629	   0.1280	   0.0537	   0.0145	  -0.0007	   0.1014	  -0.3933	   0.5447	   3.2265	   4.8328	   0.1172	
   0.0000	   2.0000	   8.0000	   0.0000	   0.0435	   0.1739	  -0.6894	  -0.4094	   0.8017	  -0.1149	  -0.0682	   0.1260	   0.0541	   0.0141	  -0.0006	   0.0840	  -0.2691	   0.5860	   3.2762	   4.6694	   0.1336	
   2.5000	   2.0000	   8.0000	   0.0543	   0.0435	   0.1739	  -0.7903	  -0.4358	   0.9024	  -0.1317	  -0.0726	   0.1222	   0.0536	   0.0133	  -0.0004	   0.0596	  -0.1139	   0.6041	   3.4363	   4.4583	   0.1504	
   5.0000	   2.0000	   8.0000	   0.1087	   0.0435	   0.1739	  -0.8837	  -0.4527	   0.9928	  -0.1473	  -0.0754	   0.1152	   0.0531	   0.0121	  -0.0002	   0.0271	  -0.0885	   0.6757	   3.9352	   5.1987	   0.1655	
