Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"W [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"W/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_W/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'w'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "y=-31mm_ImgMean_16x32x64_MovingAvg3x3" I=65 J=40 F=POINT
 -80.0000	 -31.0000	   2.5000	  -1.7391	  -0.6739	   0.0543	   0.0000	   0.0000	   0.0002	   0.0000	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	   0.0001	  -0.0006	  -0.0001	   0.0060	   0.0063	   0.0000	
 -77.5000	 -31.0000	   2.5000	  -1.6848	  -0.6739	   0.0543	   0.0000	   0.0000	   0.0002	   0.0000	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	   0.0001	  -0.0006	  -0.0001	   0.0061	   0.0063	   0.0000	
 -75.0000	 -31.0000	   2.5000	  -1.6304	  -0.6739	   0.0543	   0.0001	   0.0000	   0.0002	   0.0000	   0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0006	  -0.0001	   0.0060	   0.0063	   0.0000	
 -72.5000	 -31.0000	   2.5000	  -1.5761	  -0.6739	   0.0543	   0.0001	   0.0000	   0.0002	   0.0000	   0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0007	  -0.0001	   0.0061	   0.0065	   0.0000	
 -70.0000	 -31.0000	   2.5000	  -1.5217	  -0.6739	   0.0543	   0.0001	   0.0000	   0.0002	   0.0000	   0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0007	  -0.0001	   0.0064	   0.0068	   0.0000	
 -67.5000	 -31.0000	   2.5000	  -1.4674	  -0.6739	   0.0543	   0.0001	   0.0000	   0.0002	   0.0000	   0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0007	  -0.0002	   0.0066	   0.0071	   0.0000	
 -65.0000	 -31.0000	   2.5000	  -1.4130	  -0.6739	   0.0543	   0.0001	   0.0000	   0.0002	   0.0000	   0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0008	  -0.0002	   0.0069	   0.0074	   0.0000	
 -62.5000	 -31.0000	   2.5000	  -1.3587	  -0.6739	   0.0543	   0.0001	   0.0000	   0.0002	   0.0000	   0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0008	  -0.0002	   0.0072	   0.0078	   0.0000	
 -60.0000	 -31.0000	   2.5000	  -1.3043	  -0.6739	   0.0543	   0.0001	  -0.0000	   0.0002	   0.0000	  -0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0009	  -0.0003	   0.0077	   0.0083	   0.0000	
 -57.5000	 -31.0000	   2.5000	  -1.2500	  -0.6739	   0.0543	   0.0001	  -0.0000	   0.0002	   0.0000	  -0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0002	  -0.0009	  -0.0004	   0.0085	   0.0091	   0.0000	
 -55.0000	 -31.0000	   2.5000	  -1.1957	  -0.6739	   0.0543	   0.0001	  -0.0000	   0.0003	   0.0000	  -0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0002	  -0.0010	  -0.0004	   0.0095	   0.0102	   0.0000	
 -52.5000	 -31.0000	   2.5000	  -1.1413	  -0.6739	   0.0543	   0.0002	  -0.0000	   0.0003	   0.0000	  -0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0002	  -0.0012	  -0.0005	   0.0105	   0.0113	   0.0000	
 -50.0000	 -31.0000	   2.5000	  -1.0870	  -0.6739	   0.0543	   0.0002	  -0.0000	   0.0003	   0.0000	  -0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0003	  -0.0013	  -0.0006	   0.0116	   0.0124	   0.0000	
 -47.5000	 -31.0000	   2.5000	  -1.0326	  -0.6739	   0.0543	   0.0002	  -0.0000	   0.0003	   0.0000	  -0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0003	  -0.0014	  -0.0008	   0.0129	   0.0137	   0.0001	
 -45.0000	 -31.0000	   2.5000	  -0.9783	  -0.6739	   0.0543	   0.0002	  -0.0000	   0.0004	   0.0000	  -0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0004	  -0.0016	  -0.0010	   0.0147	   0.0155	   0.0001	
 -42.5000	 -31.0000	   2.5000	  -0.9239	  -0.6739	   0.0543	   0.0003	  -0.0000	   0.0004	   0.0000	  -0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0005	  -0.0018	  -0.0013	   0.0173	   0.0181	   0.0001	
 -40.0000	 -31.0000	   2.5000	  -0.8696	  -0.6739	   0.0543	   0.0003	  -0.0001	   0.0005	   0.0001	  -0.0000	   0.0002	   0.0001	   0.0000	  -0.0000	   0.0007	  -0.0022	  -0.0017	   0.0211	   0.0217	   0.0001	
 -37.5000	 -31.0000	   2.5000	  -0.8152	  -0.6739	   0.0543	   0.0004	  -0.0001	   0.0006	   0.0001	  -0.0000	   0.0002	   0.0001	   0.0000	  -0.0000	   0.0009	  -0.0027	  -0.0023	   0.0260	   0.0264	   0.0001	
 -35.0000	 -31.0000	   2.5000	  -0.7609	  -0.6739	   0.0543	   0.0005	  -0.0001	   0.0007	   0.0001	  -0.0000	   0.0002	   0.0001	   0.0000	  -0.0000	   0.0012	  -0.0034	  -0.0033	   0.0334	   0.0330	   0.0001	
 -32.5000	 -31.0000	   2.5000	  -0.7065	  -0.6739	   0.0543	   0.0006	  -0.0002	   0.0008	   0.0001	  -0.0000	   0.0003	   0.0002	   0.0000	  -0.0000	   0.0016	  -0.0042	  -0.0046	   0.0423	   0.0408	   0.0001	
 -30.0000	 -31.0000	   2.5000	  -0.6522	  -0.6739	   0.0543	   0.0008	  -0.0003	   0.0011	   0.0001	  -0.0001	   0.0003	   0.0002	   0.0000	  -0.0000	   0.0024	  -0.0059	  -0.0074	   0.0620	   0.0571	   0.0002	
