Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"W [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"W/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_W/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'w'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "y=29mm_ImgMean_16x32x64_MovingAvg3x3" I=65 J=40 F=POINT
 -80.0000	  29.0000	   2.5000	  -1.7391	   0.6304	   0.0543	   0.0002	  -0.0000	   0.0003	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0007	  -0.0003	   0.0046	   0.0047	   0.0001	
 -77.5000	  29.0000	   2.5000	  -1.6848	   0.6304	   0.0543	   0.0002	  -0.0000	   0.0003	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0008	  -0.0003	   0.0047	   0.0048	   0.0001	
 -75.0000	  29.0000	   2.5000	  -1.6304	   0.6304	   0.0543	   0.0002	  -0.0000	   0.0003	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0008	  -0.0003	   0.0048	   0.0050	   0.0001	
 -72.5000	  29.0000	   2.5000	  -1.5761	   0.6304	   0.0543	   0.0002	  -0.0000	   0.0003	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0008	  -0.0003	   0.0050	   0.0052	   0.0001	
 -70.0000	  29.0000	   2.5000	  -1.5217	   0.6304	   0.0543	   0.0002	  -0.0000	   0.0003	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0009	  -0.0004	   0.0052	   0.0054	   0.0001	
 -67.5000	  29.0000	   2.5000	  -1.4674	   0.6304	   0.0543	   0.0002	  -0.0000	   0.0003	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0009	  -0.0004	   0.0054	   0.0056	   0.0001	
 -65.0000	  29.0000	   2.5000	  -1.4130	   0.6304	   0.0543	   0.0003	  -0.0000	   0.0004	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0010	  -0.0004	   0.0056	   0.0059	   0.0001	
 -62.5000	  29.0000	   2.5000	  -1.3587	   0.6304	   0.0543	   0.0003	  -0.0000	   0.0004	   0.0000	  -0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0010	  -0.0005	   0.0060	   0.0063	   0.0001	
 -60.0000	  29.0000	   2.5000	  -1.3043	   0.6304	   0.0543	   0.0003	  -0.0000	   0.0004	   0.0000	  -0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0002	  -0.0011	  -0.0005	   0.0064	   0.0068	   0.0001	
 -57.5000	  29.0000	   2.5000	  -1.2500	   0.6304	   0.0543	   0.0003	  -0.0001	   0.0004	   0.0001	  -0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0002	  -0.0012	  -0.0006	   0.0071	   0.0075	   0.0001	
 -55.0000	  29.0000	   2.5000	  -1.1957	   0.6304	   0.0543	   0.0004	  -0.0001	   0.0005	   0.0001	  -0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0002	  -0.0014	  -0.0007	   0.0079	   0.0084	   0.0001	
 -52.5000	  29.0000	   2.5000	  -1.1413	   0.6304	   0.0543	   0.0004	  -0.0001	   0.0005	   0.0001	  -0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0003	  -0.0016	  -0.0009	   0.0090	   0.0095	   0.0001	
 -50.0000	  29.0000	   2.5000	  -1.0870	   0.6304	   0.0543	   0.0005	  -0.0001	   0.0006	   0.0001	  -0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0003	  -0.0018	  -0.0011	   0.0102	   0.0108	   0.0001	
 -47.5000	  29.0000	   2.5000	  -1.0326	   0.6304	   0.0543	   0.0005	  -0.0001	   0.0007	   0.0001	  -0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0004	  -0.0020	  -0.0013	   0.0115	   0.0122	   0.0001	
 -45.0000	  29.0000	   2.5000	  -0.9783	   0.6304	   0.0543	   0.0006	  -0.0001	   0.0007	   0.0001	  -0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0004	  -0.0023	  -0.0015	   0.0131	   0.0139	   0.0001	
 -42.5000	  29.0000	   2.5000	  -0.9239	   0.6304	   0.0543	   0.0007	  -0.0001	   0.0008	   0.0001	  -0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0005	  -0.0027	  -0.0018	   0.0151	   0.0160	   0.0001	
 -40.0000	  29.0000	   2.5000	  -0.8696	   0.6304	   0.0543	   0.0008	  -0.0002	   0.0009	   0.0001	  -0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0007	  -0.0031	  -0.0023	   0.0177	   0.0186	   0.0002	
 -37.5000	  29.0000	   2.5000	  -0.8152	   0.6304	   0.0543	   0.0009	  -0.0002	   0.0011	   0.0002	  -0.0000	   0.0002	   0.0001	   0.0000	  -0.0000	   0.0008	  -0.0038	  -0.0029	   0.0213	   0.0223	   0.0002	
 -35.0000	  29.0000	   2.5000	  -0.7609	   0.6304	   0.0543	   0.0011	  -0.0003	   0.0013	   0.0002	  -0.0000	   0.0002	   0.0001	   0.0000	  -0.0000	   0.0011	  -0.0047	  -0.0039	   0.0268	   0.0279	   0.0002	
 -32.5000	  29.0000	   2.5000	  -0.7065	   0.6304	   0.0543	   0.0014	  -0.0004	   0.0016	   0.0002	  -0.0001	   0.0002	   0.0002	   0.0000	  -0.0000	   0.0016	  -0.0066	  -0.0059	   0.0379	   0.0387	   0.0003	
 -30.0000	  29.0000	   2.5000	  -0.6522	   0.6304	   0.0543	   0.0017	  -0.0005	   0.0019	   0.0003	  -0.0001	   0.0003	   0.0002	   0.0000	  -0.0000	   0.0017	  -0.0069	  -0.0058	   0.0381	   0.0405	   0.0003	
