Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"V [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"V/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_V/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'v'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "z=8mm_ImghMean_20x40x80_MovingAvg3x3_SecondBlocks" I=17 J=65 F=POINT
 -20.0000	   1.0000	   8.0000	  -0.4348	   0.0217	   0.1739	   1.1596	   0.5448	   1.2805	   0.1933	   0.0908	   0.1081	   0.0657	   0.0120	  -0.0013	   0.1840	  -0.5561	   0.6210	   3.7916	   4.3267	   0.2134	
 -17.5000	   1.0000	   8.0000	  -0.3804	   0.0217	   0.1739	   1.1558	   0.5822	   1.2940	   0.1926	   0.0970	   0.1069	   0.0664	   0.0119	  -0.0018	   0.2523	  -0.6113	   0.6737	   3.9140	   4.5535	   0.2157	
 -15.0000	   1.0000	   8.0000	  -0.3261	   0.0217	   0.1739	   1.1387	   0.6260	   1.2994	   0.1898	   0.1043	   0.1075	   0.0674	   0.0121	  -0.0022	   0.3037	  -0.6190	   0.7265	   3.9179	   4.8523	   0.2166	
 -12.5000	   1.0000	   8.0000	  -0.2717	   0.0217	   0.1739	   1.0978	   0.6760	   1.2893	   0.1830	   0.1127	   0.1104	   0.0702	   0.0128	  -0.0026	   0.3296	  -0.5605	   0.7805	   3.8039	   5.0081	   0.2149	
 -10.0000	   1.0000	   8.0000	  -0.2174	   0.0217	   0.1739	   1.0520	   0.7286	   1.2797	   0.1753	   0.1214	   0.1139	   0.0748	   0.0139	  -0.0031	   0.3666	  -0.5048	   0.8994	   3.6638	   5.2404	   0.2133	
  -7.5000	   1.0000	   8.0000	  -0.1630	   0.0217	   0.1739	   1.0050	   0.7786	   1.2713	   0.1675	   0.1298	   0.1166	   0.0801	   0.0150	  -0.0039	   0.4124	  -0.4852	   1.0124	   3.4941	   5.3049	   0.2119	
  -5.0000	   1.0000	   8.0000	  -0.1087	   0.0217	   0.1739	   0.9578	   0.8232	   1.2630	   0.1596	   0.1372	   0.1184	   0.0851	   0.0159	  -0.0046	   0.4516	  -0.5106	   1.0392	   3.3900	   4.9637	   0.2105	
  -2.5000	   1.0000	   8.0000	  -0.0543	   0.0217	   0.1739	   0.9147	   0.8629	   1.2575	   0.1524	   0.1438	   0.1193	   0.0905	   0.0168	  -0.0052	   0.4824	  -0.5646	   1.0897	   3.3488	   4.8538	   0.2096	
   0.0000	   1.0000	   8.0000	   0.0000	   0.0217	   0.1739	   0.8701	   0.8916	   1.2458	   0.1450	   0.1486	   0.1192	   0.0978	   0.0178	  -0.0058	   0.4963	  -0.6340	   1.1246	   3.3457	   4.7801	   0.2076	
   2.5000	   1.0000	   8.0000	   0.0543	   0.0217	   0.1739	   0.8315	   0.9153	   1.2365	   0.1386	   0.1525	   0.1182	   0.1055	   0.0188	  -0.0063	   0.5060	  -0.7116	   1.1377	   3.4069	   4.6636	   0.2061	
   5.0000	   1.0000	   8.0000	   0.1087	   0.0217	   0.1739	   0.8018	   0.9305	   1.2282	   0.1336	   0.1551	   0.1167	   0.1124	   0.0197	  -0.0067	   0.5097	  -0.7975	   1.1197	   3.5416	   4.4279	   0.2047	
   7.5000	   1.0000	   8.0000	   0.1630	   0.0217	   0.1739	   0.7870	   0.9453	   1.2299	   0.1312	   0.1576	   0.1134	   0.1180	   0.0201	  -0.0070	   0.5217	  -0.8704	   1.0398	   3.7671	   4.0062	   0.2050	
  10.0000	   1.0000	   8.0000	   0.2174	   0.0217	   0.1739	   0.7884	   0.9570	   1.2399	   0.1314	   0.1595	   0.1098	   0.1225	   0.0203	  -0.0069	   0.5120	  -0.9283	   0.9423	   4.0315	   3.6384	   0.2066	
  12.5000	   1.0000	   8.0000	   0.2717	   0.0217	   0.1739	   0.8103	   0.9780	   1.2700	   0.1351	   0.1630	   0.1066	   0.1261	   0.0204	  -0.0067	   0.5010	  -0.9591	   0.8416	   4.2500	   3.3555	   0.2117	
  15.0000	   1.0000	   8.0000	   0.3261	   0.0217	   0.1739	   0.8471	   1.0003	   1.3107	   0.1412	   0.1667	   0.1027	   0.1286	   0.0203	  -0.0065	   0.4959	  -0.9726	   0.7440	   4.4441	   3.1231	   0.2185	
  17.5000	   1.0000	   8.0000	   0.3804	   0.0217	   0.1739	   0.8887	   1.0202	   1.3529	   0.1481	   0.1700	   0.1003	   0.1311	   0.0204	  -0.0063	   0.4763	  -0.9436	   0.6681	   4.5846	   2.9724	   0.2255	
  20.0000	   1.0000	   8.0000	   0.4348	   0.0217	   0.1739	   0.8970	   1.0080	   1.3493	   0.1495	   0.1680	   0.1014	   0.1347	   0.0213	  -0.0054	   0.3923	  -0.8663	   0.6503	   4.4214	   2.9217	   0.2249	
 -20.0000	   3.5000	   8.0000	  -0.4348	   0.0761	   0.1739	   1.1993	   0.5732	   1.3294	   0.1999	   0.0955	   0.1045	   0.0632	   0.0112	  -0.0015	   0.2231	  -0.5843	   0.5877	   3.8489	   4.5063	   0.2216	
 -17.5000	   3.5000	   8.0000	  -0.3804	   0.0761	   0.1739	   1.1931	   0.6085	   1.3393	   0.1989	   0.1014	   0.1040	   0.0641	   0.0112	  -0.0019	   0.2824	  -0.6315	   0.6550	   3.9186	   4.6890	   0.2232	
 -15.0000	   3.5000	   8.0000	  -0.3261	   0.0761	   0.1739	   1.1696	   0.6509	   1.3386	   0.1949	   0.1085	   0.1051	   0.0653	   0.0115	  -0.0021	   0.3127	  -0.6346	   0.7156	   3.9341	   4.9830	   0.2231	
 -12.5000	   3.5000	   8.0000	  -0.2717	   0.0761	   0.1739	   1.1287	   0.7019	   1.3292	   0.1881	   0.1170	   0.1081	   0.0679	   0.0122	  -0.0025	   0.3368	  -0.5751	   0.7795	   3.8351	   5.2097	   0.2215	
 -10.0000	   3.5000	   8.0000	  -0.2174	   0.0761	   0.1739	   1.0847	   0.7553	   1.3218	   0.1808	   0.1259	   0.1118	   0.0722	   0.0133	  -0.0031	   0.3824	  -0.5118	   0.9128	   3.6770	   5.4890	   0.2203	
  -7.5000	   3.5000	   8.0000	  -0.1630	   0.0761	   0.1739	   1.0362	   0.8055	   1.3124	   0.1727	   0.1342	   0.1150	   0.0772	   0.0144	  -0.0038	   0.4312	  -0.4844	   1.0277	   3.5279	   5.5226	   0.2187	
  -5.0000	   3.5000	   8.0000	  -0.1087	   0.0761	   0.1739	   0.9880	   0.8478	   1.3018	   0.1647	   0.1413	   0.1171	   0.0821	   0.0153	  -0.0045	   0.4696	  -0.5016	   1.0536	   3.4381	   5.1363	   0.2170	
  -2.5000	   3.5000	   8.0000	  -0.0543	   0.0761	   0.1739	   0.9448	   0.8834	   1.2935	   0.1575	   0.1472	   0.1182	   0.0871	   0.0162	  -0.0052	   0.5007	  -0.5528	   1.1052	   3.3878	   5.0034	   0.2156	
   0.0000	   3.5000	   8.0000	   0.0000	   0.0761	   0.1739	   0.9009	   0.9111	   1.2813	   0.1501	   0.1518	   0.1181	   0.0936	   0.0170	  -0.0057	   0.5174	  -0.6149	   1.1361	   3.3630	   4.8914	   0.2135	
   2.5000	   3.5000	   8.0000	   0.0543	   0.0761	   0.1739	   0.8605	   0.9323	   1.2687	   0.1434	   0.1554	   0.1169	   0.1011	   0.0179	  -0.0062	   0.5283	  -0.6904	   1.1844	   3.4228	   4.8804	   0.2114	
   5.0000	   3.5000	   8.0000	   0.1087	   0.0761	   0.1739	   0.8299	   0.9440	   1.2570	   0.1383	   0.1573	   0.1151	   0.1082	   0.0187	  -0.0067	   0.5357	  -0.7789	   1.1876	   3.5501	   4.6932	   0.2095	
   7.5000	   3.5000	   8.0000	   0.1630	   0.0761	   0.1739	   0.8141	   0.9490	   1.2504	   0.1357	   0.1582	   0.1119	   0.1145	   0.0192	  -0.0069	   0.5415	  -0.8520	   1.1025	   3.7464	   4.2238	   0.2084	
  10.0000	   3.5000	   8.0000	   0.2174	   0.0761	   0.1739	   0.8205	   0.9548	   1.2590	   0.1368	   0.1591	   0.1084	   0.1194	   0.0195	  -0.0070	   0.5398	  -0.9043	   0.9933	   3.9580	   3.8076	   0.2098	
