Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"W [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"W/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_W/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'w'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "y=-85mm_16x32x32_MovingAvg3x3" I=65 J=40 F=POINT
 -80.0000	 -85.0000	   2.5000	  -1.7391	  -1.8478	   0.0543	  -0.0003	   0.0001	   0.0005	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0010	  -0.0003	   0.0219	   0.0072	   0.0001	
 -77.5000	 -85.0000	   2.5000	  -1.6848	  -1.8478	   0.0543	  -0.0003	   0.0001	   0.0005	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0010	  -0.0003	   0.0223	   0.0074	   0.0001	
 -75.0000	 -85.0000	   2.5000	  -1.6304	  -1.8478	   0.0543	  -0.0004	   0.0001	   0.0005	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0010	  -0.0003	   0.0228	   0.0077	   0.0001	
 -72.5000	 -85.0000	   2.5000	  -1.5761	  -1.8478	   0.0543	  -0.0004	   0.0001	   0.0005	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0011	  -0.0003	   0.0235	   0.0080	   0.0001	
 -70.0000	 -85.0000	   2.5000	  -1.5217	  -1.8478	   0.0543	  -0.0004	   0.0001	   0.0006	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0011	  -0.0003	   0.0243	   0.0084	   0.0001	
 -67.5000	 -85.0000	   2.5000	  -1.4674	  -1.8478	   0.0543	  -0.0004	   0.0001	   0.0006	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0012	  -0.0003	   0.0253	   0.0088	   0.0001	
 -65.0000	 -85.0000	   2.5000	  -1.4130	  -1.8478	   0.0543	  -0.0005	   0.0001	   0.0006	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0002	  -0.0012	  -0.0003	   0.0264	   0.0093	   0.0001	
 -62.5000	 -85.0000	   2.5000	  -1.3587	  -1.8478	   0.0543	  -0.0005	   0.0001	   0.0007	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0002	  -0.0013	  -0.0003	   0.0276	   0.0099	   0.0001	
 -60.0000	 -85.0000	   2.5000	  -1.3043	  -1.8478	   0.0543	  -0.0006	   0.0001	   0.0007	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0002	  -0.0014	  -0.0003	   0.0291	   0.0105	   0.0001	
