Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "Trees_West_y=-136mm_Tec" I=17 J=25 F=POINT
 -20.0000	-142.0000	   5.0000	  -0.4348	  -3.0870	   0.1087	  41.3900	  50.0000	
 -17.5000	-142.0000	   5.0000	  -0.3804	  -3.0870	   0.1087	  53.4175	  61.3325	
 -15.0000	-142.0000	   5.0000	  -0.3261	  -3.0870	   0.1087	  65.4450	  72.6650	
 -12.5000	-142.0000	   5.0000	  -0.2717	  -3.0870	   0.1087	  77.4725	  83.9975	
 -10.0000	-142.0000	   5.0000	  -0.2174	  -3.0870	   0.1087	  89.5000	  95.3300	
  -7.5000	-142.0000	   5.0000	  -0.1630	  -3.0870	   0.1087	  75.3900	  88.2825	
  -5.0000	-142.0000	   5.0000	  -0.1087	  -3.0870	   0.1087	  61.2800	  81.2350	
  -2.5000	-142.0000	   5.0000	  -0.0543	  -3.0870	   0.1087	  47.1700	  74.1875	
   0.0000	-142.0000	   5.0000	   0.0000	  -3.0870	   0.1087	  33.0600	  67.1400	
   2.5000	-142.0000	   5.0000	   0.0543	  -3.0870	   0.1087	  26.5750	  53.3700	
   5.0000	-142.0000	   5.0000	   0.1087	  -3.0870	   0.1087	  20.0900	  39.6000	
   7.5000	-142.0000	   5.0000	   0.1630	  -3.0870	   0.1087	  13.6050	  25.8300	
  10.0000	-142.0000	   5.0000	   0.2174	  -3.0870	   0.1087	   7.1200	  12.0600	
  12.5000	-142.0000	   5.0000	   0.2717	  -3.0870	   0.1087	   6.4575	  10.9050	
  15.0000	-142.0000	   5.0000	   0.3261	  -3.0870	   0.1087	   5.7950	   9.7500	
  17.5000	-142.0000	   5.0000	   0.3804	  -3.0870	   0.1087	   5.1325	   8.5950	
  20.0000	-142.0000	   5.0000	   0.4348	  -3.0870	   0.1087	   4.4700	   7.4400	
 -20.0000	-142.0000	   7.5000	  -0.4348	  -3.0870	   0.1630	  40.6925	  48.1550	
 -17.5000	-142.0000	   7.5000	  -0.3804	  -3.0870	   0.1630	  49.1569	  55.7119	
 -15.0000	-142.0000	   7.5000	  -0.3261	  -3.0870	   0.1630	  57.6213	  63.2688	
 -12.5000	-142.0000	   7.5000	  -0.2717	  -3.0870	   0.1630	  66.0856	  70.8256	
 -10.0000	-142.0000	   7.5000	  -0.2174	  -3.0870	   0.1630	  71.0876	  76.0933	
  -7.5000	-142.0000	   7.5000	  -0.1630	  -3.0870	   0.1630	  62.8169	  72.5856	
  -5.0000	-142.0000	   7.5000	  -0.1087	  -3.0870	   0.1630	  51.0838	  66.7888	
  -2.5000	-142.0000	   7.5000	  -0.0543	  -3.0870	   0.1630	  39.3506	  60.9919	
   0.0000	-142.0000	   7.5000	   0.0000	  -3.0870	   0.1630	  28.7457	  54.3119	
   2.5000	-142.0000	   7.5000	   0.0543	  -3.0870	   0.1630	  22.4656	  44.2469	
   5.0000	-142.0000	   7.5000	   0.1087	  -3.0870	   0.1630	  17.3138	  33.2988	
