Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "Trees_West_y=87mm_Tec" I=17 J=25 F=POINT
 -20.0000	  87.0000	   5.0000	  -0.4348	   1.8913	   0.1087	 120.8406	  33.3673	
 -17.5000	  87.0000	   5.0000	  -0.3804	   1.8913	   0.1087	 145.9906	  58.8537	
 -15.0000	  87.0000	   5.0000	  -0.3261	   1.8913	   0.1087	 171.3937	  84.4725	
 -12.5000	  87.0000	   5.0000	  -0.2717	   1.8913	   0.1087	 196.7969	 110.0913	
 -10.0000	  87.0000	   5.0000	  -0.2174	   1.8913	   0.1087	 222.2000	 135.7100	
  -7.5000	  87.0000	   5.0000	  -0.1630	   1.8913	   0.1087	 180.3225	 131.0025	
  -5.0000	  87.0000	   5.0000	  -0.1087	   1.8913	   0.1087	 138.4450	 126.2950	
  -2.5000	  87.0000	   5.0000	  -0.0543	   1.8913	   0.1087	  96.5675	 121.5875	
   0.0000	  87.0000	   5.0000	   0.0000	   1.8913	   0.1087	  54.6900	 116.8800	
   2.5000	  87.0000	   5.0000	   0.0543	   1.8913	   0.1087	  43.6475	  90.3000	
   5.0000	  87.0000	   5.0000	   0.1087	   1.8913	   0.1087	  32.6050	  63.7200	
   7.5000	  87.0000	   5.0000	   0.1630	   1.8913	   0.1087	  21.5625	  37.1400	
  10.0000	  87.0000	   5.0000	   0.2174	   1.8913	   0.1087	  10.5200	  10.5600	
  12.5000	  87.0000	   5.0000	   0.2717	   1.8913	   0.1087	  10.2350	  10.0050	
  15.0000	  87.0000	   5.0000	   0.3261	   1.8913	   0.1087	   9.9500	   9.4500	
  17.5000	  87.0000	   5.0000	   0.3804	   1.8913	   0.1087	   9.6650	   8.8950	
  20.0000	  87.0000	   5.0000	   0.4348	   1.8913	   0.1087	   9.3800	   8.3400	
 -20.0000	  87.0000	   7.5000	  -0.4348	   1.8913	   0.1630	 122.0586	  39.3836	
 -17.5000	  87.0000	   7.5000	  -0.3804	   1.8913	   0.1630	 136.3000	  58.9533	
 -15.0000	  87.0000	   7.5000	  -0.3261	   1.8913	   0.1630	 150.5750	  78.7572	
 -12.5000	  87.0000	   7.5000	  -0.2717	   1.8913	   0.1630	 164.8500	  98.5611	
 -10.0000	  87.0000	   7.5000	  -0.2174	   1.8913	   0.1630	 170.2164	 113.5273	
  -7.5000	  87.0000	   7.5000	  -0.1630	   1.8913	   0.1630	 145.6275	 112.2269	
  -5.0000	  87.0000	   7.5000	  -0.1087	   1.8913	   0.1630	 112.1300	 106.0888	
  -2.5000	  87.0000	   7.5000	  -0.0543	   1.8913	   0.1630	  78.6325	  99.9506	
   0.0000	  87.0000	   7.5000	   0.0000	   1.8913	   0.1630	  49.3923	  91.2630	
   2.5000	  87.0000	   7.5000	   0.0543	   1.8913	   0.1630	  36.4719	  72.8025	
   5.0000	  87.0000	   7.5000	   0.1087	   1.8913	   0.1630	  27.8088	  51.7925	
   7.5000	  87.0000	   7.5000	   0.1630	   1.8913	   0.1630	  19.1456	  30.7825	
  10.0000	  87.0000	   7.5000	   0.2174	   1.8913	   0.1630	  11.9268	  13.2859	
  12.5000	  87.0000	   7.5000	   0.2717	   1.8913	   0.1630	  10.2444	   9.2575	
  15.0000	  87.0000	   7.5000	   0.3261	   1.8913	   0.1630	  10.0063	   8.7425	
  17.5000	  87.0000	   7.5000	   0.3804	   1.8913	   0.1630	   9.7681	   8.2275	
  20.0000	  87.0000	   7.5000	   0.4348	   1.8913	   0.1630	   9.5300	   7.7125	
 -20.0000	  87.0000	  10.0000	  -0.4348	   1.8913	   0.2174	 123.2766	  45.3999	
 -17.5000	  87.0000	  10.0000	  -0.3804	   1.8913	   0.2174	 126.6094	  59.0528	
