Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"W [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"W/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_W/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'w'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "y=-142mm_ImgMean_16x32x64_MovingAvg3x3" I=65 J=40 F=POINT
 -80.0000	-142.0000	   2.5000	  -1.7391	  -3.0870	   0.0543	  -0.0000	  -0.0000	   0.0001	  -0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0003	  -0.0022	  -0.0052	  -0.1241	   0.0000	
 -77.5000	-142.0000	   2.5000	  -1.6848	  -3.0870	   0.0543	  -0.0000	  -0.0000	   0.0001	  -0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0003	  -0.0022	  -0.0052	  -0.1249	   0.0000	
 -75.0000	-142.0000	   2.5000	  -1.6304	  -3.0870	   0.0543	  -0.0000	  -0.0000	   0.0001	  -0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0003	  -0.0022	  -0.0053	  -0.1278	   0.0000	
 -72.5000	-142.0000	   2.5000	  -1.5761	  -3.0870	   0.0543	  -0.0000	  -0.0000	   0.0001	  -0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0003	  -0.0023	  -0.0055	  -0.1322	   0.0000	
 -70.0000	-142.0000	   2.5000	  -1.5217	  -3.0870	   0.0543	  -0.0000	  -0.0000	   0.0001	  -0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0003	  -0.0024	  -0.0056	  -0.1378	   0.0000	
 -67.5000	-142.0000	   2.5000	  -1.4674	  -3.0870	   0.0543	   0.0000	  -0.0000	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0004	  -0.0025	  -0.0059	  -0.1444	   0.0000	
 -65.0000	-142.0000	   2.5000	  -1.4130	  -3.0870	   0.0543	   0.0000	  -0.0000	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0004	  -0.0026	  -0.0061	  -0.1517	   0.0000	
 -62.5000	-142.0000	   2.5000	  -1.3587	  -3.0870	   0.0543	   0.0000	  -0.0000	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0004	  -0.0027	  -0.0064	  -0.1594	   0.0000	
 -60.0000	-142.0000	   2.5000	  -1.3043	  -3.0870	   0.0543	   0.0000	  -0.0000	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0004	  -0.0028	  -0.0067	  -0.1674	   0.0000	
