Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"W [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"W/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_W/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'w'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "y=148mm_ImgMean_16x32x64_MovingAvg3x3" I=65 J=40 F=POINT
 -80.0000	 148.0000	   2.5000	  -1.7391	   3.2174	   0.0543	  -0.0002	   0.0000	   0.0003	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0000	  -0.0002	  -0.0023	  -0.0261	  -0.0127	  -1.0737	   0.0001	
 -77.5000	 148.0000	   2.5000	  -1.6848	   3.2174	   0.0543	  -0.0001	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0000	  -0.0001	  -0.0013	  -0.0149	  -0.0042	  -0.6170	   0.0000	
 -75.0000	 148.0000	   2.5000	  -1.6304	   3.2174	   0.0543	  -0.0001	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0000	  -0.0001	  -0.0013	  -0.0148	  -0.0031	  -0.6099	   0.0000	
 -72.5000	 148.0000	   2.5000	  -1.5761	   3.2174	   0.0543	  -0.0001	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0000	  -0.0001	  -0.0013	  -0.0146	  -0.0017	  -0.6056	   0.0000	
 -70.0000	 148.0000	   2.5000	  -1.5217	   3.2174	   0.0543	  -0.0001	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0000	  -0.0001	  -0.0013	  -0.0149	  -0.0003	  -0.6177	   0.0000	
 -67.5000	 148.0000	   2.5000	  -1.4674	   3.2174	   0.0543	  -0.0001	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0000	  -0.0001	  -0.0013	  -0.0156	   0.0013	  -0.6445	   0.0000	
 -65.0000	 148.0000	   2.5000	  -1.4130	   3.2174	   0.0543	  -0.0000	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0000	  -0.0001	  -0.0014	  -0.0164	   0.0031	  -0.6810	   0.0000	
 -62.5000	 148.0000	   2.5000	  -1.3587	   3.2174	   0.0543	  -0.0000	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0000	  -0.0001	  -0.0015	  -0.0174	   0.0053	  -0.7220	   0.0000	
 -60.0000	 148.0000	   2.5000	  -1.3043	   3.2174	   0.0543	  -0.0000	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0000	  -0.0001	  -0.0016	  -0.0186	   0.0081	  -0.7700	   0.0000	
 -57.5000	 148.0000	   2.5000	  -1.2500	   3.2174	   0.0543	  -0.0000	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0000	  -0.0001	  -0.0017	  -0.0200	   0.0116	  -0.8319	   0.0000	
 -55.0000	 148.0000	   2.5000	  -1.1957	   3.2174	   0.0543	  -0.0000	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0001	  -0.0018	  -0.0219	   0.0162	  -0.9106	   0.0000	
 -52.5000	 148.0000	   2.5000	  -1.1413	   3.2174	   0.0543	  -0.0000	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0001	  -0.0020	  -0.0241	   0.0222	  -1.0032	   0.0000	
 -50.0000	 148.0000	   2.5000	  -1.0870	   3.2174	   0.0543	  -0.0000	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0001	  -0.0022	  -0.0266	   0.0299	  -1.1080	   0.0000	
 -47.5000	 148.0000	   2.5000	  -1.0326	   3.2174	   0.0543	  -0.0000	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0001	  -0.0024	  -0.0297	   0.0404	  -1.2367	   0.0000	
 -45.0000	 148.0000	   2.5000	  -0.9783	   3.2174	   0.0543	  -0.0000	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0001	  -0.0028	  -0.0337	   0.0554	  -1.4043	   0.0000	
