Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"V [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"V/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_V/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'v'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "z=8mm_ImghMean_20x40x80_MovingAvg3x3" I=17 J=65 F=POINT
 -20.0000	-161.0000	   8.0000	  -0.4348	  -3.5000	   0.1739	   1.0876	   0.8035	   1.3499	   0.1813	   0.1339	   0.0937	   0.0554	   0.0089	   0.0009	  -0.1732	  -0.1922	   0.2730	   3.7462	   4.4249	   0.2250	
 -17.5000	-161.0000	   8.0000	  -0.3804	  -3.5000	   0.1739	   1.0559	   0.8236	   1.3394	   0.1760	   0.1373	   0.0923	   0.0535	   0.0085	   0.0006	  -0.1315	  -0.1757	   0.4116	   4.0055	   4.4531	   0.2232	
 -15.0000	-161.0000	   8.0000	  -0.3261	  -3.5000	   0.1739	   0.9723	   0.8151	   1.2687	   0.1621	   0.1359	   0.0920	   0.0540	   0.0085	   0.0007	  -0.1478	  -0.1272	   0.4868	   4.1264	   4.1888	   0.2114	
 -12.5000	-161.0000	   8.0000	  -0.2717	  -3.5000	   0.1739	   0.8520	   0.7794	   1.1546	   0.1420	   0.1299	   0.0923	   0.0564	   0.0088	   0.0010	  -0.1893	  -0.0702	   0.4635	   4.2982	   3.8142	   0.1924	
 -10.0000	-161.0000	   8.0000	  -0.2174	  -3.5000	   0.1739	   0.7257	   0.7551	   1.0474	   0.1209	   0.1258	   0.0933	   0.0602	   0.0092	   0.0011	  -0.2042	  -0.0389	   0.4537	   4.3914	   3.5861	   0.1746	
  -7.5000	-161.0000	   8.0000	  -0.1630	  -3.5000	   0.1739	   0.5919	   0.7391	   0.9468	   0.0987	   0.1232	   0.0941	   0.0627	   0.0096	   0.0012	  -0.2064	  -0.0580	   0.4778	   4.3905	   3.5021	   0.1578	
  -5.0000	-161.0000	   8.0000	  -0.1087	  -3.5000	   0.1739	   0.4568	   0.7206	   0.8534	   0.0761	   0.1201	   0.0941	   0.0631	   0.0096	   0.0012	  -0.2017	  -0.1369	   0.5329	   4.3306	   3.5047	   0.1422	
  -2.5000	-161.0000	   8.0000	  -0.0543	  -3.5000	   0.1739	   0.3502	   0.7579	   0.8352	   0.0584	   0.1263	   0.0967	   0.0625	   0.0099	   0.0010	  -0.1578	  -0.1339	   0.6665	   4.0640	   3.9370	   0.1392	
   0.0000	-161.0000	   8.0000	   0.0000	  -3.5000	   0.1739	   0.2610	   0.8039	   0.8453	   0.0435	   0.1340	   0.0995	   0.0636	   0.0105	   0.0007	  -0.1142	  -0.0570	   0.8546	   3.8451	   4.7787	   0.1409	
   2.5000	-161.0000	   8.0000	   0.0543	  -3.5000	   0.1739	   0.1756	   0.7814	   0.8010	   0.0293	   0.1302	   0.0976	   0.0668	   0.0105	   0.0007	  -0.1002	  -0.0600	   0.9563	   3.7395	   5.1558	   0.1335	
   5.0000	-161.0000	   8.0000	   0.1087	  -3.5000	   0.1739	   0.1083	   0.7279	   0.7360	   0.0180	   0.1213	   0.0934	   0.0706	   0.0103	   0.0005	  -0.0766	  -0.0797	   0.9138	   3.7207	   4.8241	   0.1227	
