Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"W [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"W/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_W/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'w'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "y=-142mm_16x32x32_MovingAvg3x3" I=65 J=40 F=POINT
 -80.0000	-142.0000	   2.5000	  -1.7391	  -3.0870	   0.0543	   0.0001	  -0.0000	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0002	  -0.0003	  -0.0002	  -0.0003	   0.0000	
 -77.5000	-142.0000	   2.5000	  -1.6848	  -3.0870	   0.0543	   0.0001	  -0.0000	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0002	  -0.0003	  -0.0002	  -0.0003	   0.0000	
 -75.0000	-142.0000	   2.5000	  -1.6304	  -3.0870	   0.0543	   0.0001	  -0.0000	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0002	  -0.0003	  -0.0003	  -0.0004	   0.0000	
 -72.5000	-142.0000	   2.5000	  -1.5761	  -3.0870	   0.0543	   0.0000	  -0.0000	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0002	  -0.0003	  -0.0003	  -0.0004	   0.0000	
 -70.0000	-142.0000	   2.5000	  -1.5217	  -3.0870	   0.0543	   0.0000	  -0.0000	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0002	  -0.0003	  -0.0004	  -0.0004	   0.0000	
 -67.5000	-142.0000	   2.5000	  -1.4674	  -3.0870	   0.0543	   0.0000	  -0.0000	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0002	  -0.0004	  -0.0004	  -0.0005	   0.0000	
 -65.0000	-142.0000	   2.5000	  -1.4130	  -3.0870	   0.0543	   0.0000	  -0.0000	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0002	  -0.0004	  -0.0005	  -0.0006	   0.0000	
 -62.5000	-142.0000	   2.5000	  -1.3587	  -3.0870	   0.0543	   0.0000	  -0.0000	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0002	  -0.0004	  -0.0006	  -0.0007	   0.0000	
 -60.0000	-142.0000	   2.5000	  -1.3043	  -3.0870	   0.0543	   0.0000	  -0.0000	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0003	  -0.0005	  -0.0006	  -0.0008	   0.0000	
 -57.5000	-142.0000	   2.5000	  -1.2500	  -3.0870	   0.0543	   0.0000	  -0.0000	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0003	  -0.0005	  -0.0008	  -0.0009	   0.0000	
 -55.0000	-142.0000	   2.5000	  -1.1957	  -3.0870	   0.0543	   0.0000	  -0.0001	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0003	  -0.0006	  -0.0009	  -0.0010	   0.0000	
 -52.5000	-142.0000	   2.5000	  -1.1413	  -3.0870	   0.0543	   0.0000	  -0.0001	   0.0001	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0004	  -0.0007	  -0.0011	  -0.0012	   0.0000	
 -50.0000	-142.0000	   2.5000	  -1.0870	  -3.0870	   0.0543	  -0.0000	  -0.0001	   0.0001	  -0.0000	  -0.0000	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	   0.0005	  -0.0008	  -0.0013	  -0.0015	   0.0000	
 -47.5000	-142.0000	   2.5000	  -1.0326	  -3.0870	   0.0543	  -0.0000	  -0.0001	   0.0001	  -0.0000	  -0.0000	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0002	   0.0005	  -0.0009	  -0.0016	  -0.0018	   0.0000	
 -45.0000	-142.0000	   2.5000	  -0.9783	  -3.0870	   0.0543	  -0.0000	  -0.0001	   0.0001	  -0.0000	  -0.0000	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0002	   0.0007	  -0.0011	  -0.0020	  -0.0022	   0.0000	
 -42.5000	-142.0000	   2.5000	  -0.9239	  -3.0870	   0.0543	  -0.0000	  -0.0001	   0.0001	  -0.0000	  -0.0000	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0002	   0.0008	  -0.0013	  -0.0026	  -0.0028	   0.0000	
 -40.0000	-142.0000	   2.5000	  -0.8696	  -3.0870	   0.0543	  -0.0000	  -0.0001	   0.0001	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	  -0.0000	   0.0003	   0.0011	  -0.0017	  -0.0036	  -0.0038	   0.0000	
 -37.5000	-142.0000	   2.5000	  -0.8152	  -3.0870	   0.0543	  -0.0001	  -0.0001	   0.0001	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	  -0.0000	   0.0004	   0.0014	  -0.0022	  -0.0046	  -0.0051	   0.0000	
